,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FT%,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,MR FGM,MR FGA,3P%,RIM DFGA,RIM DFG%
39,Davis Bertans,48,556,15.3,10.6,1.3,8.8,3.2,10.3,0.194,55,0.8,18,26,2,6,0,1,4,9,6,16,0.389,98,58.2
40,Patrick Beverley,44,1343,14.1,14.2,2.3,20.2,4.7,15.8,0.118,143,0.814,43,71,27,63,8,21,3,14,38,98,0.39,141,68.1
41,Bismack Biyombo,57,1327,13.1,17.8,0.7,6.2,9,25.5,0.707,136,0.494,94,140,24,74,9,22,1,8,34,104,0,274,58.4
42,Nemanja Bjelica,55,947,16.5,14.2,1.8,9.4,4.5,17.9,0.179,124,0.74,41,67,24,49,3,8,4,9,31,66,0.311,147,55.1
43,Tarik Black,46,749,16.4,14.3,1.2,6.5,14.7,21.7,0.407,128,0.718,87,139,16,57,3,7,0,4,19,68,0.5,147,56.5
44,Eric Bledsoe,56,1861,28.2,14.7,2,31.5,2.9,14,0.442,146,0.85,154,252,61,127,37,92,53,154,151,373,0.332,174,64.9
45,Bojan Bogdanovic,55,1482,22.4,11.8,0.8,10.1,1.7,12.3,0.273,99,0.874,119,195,23,56,13,45,15,38,51,139,0.357,120,66.7
46,Andrew Bogut,26,582,10.5,33.4,1.2,12.3,10.5,34.3,0.136,84,0.273,21,37,16,38,1,5,0,1,17,44,0,95,52.6
47,Devin Booker,56,1933,27.9,12.7,1.2,15.6,1.9,7.2,0.286,178,0.827,126,212,51,126,50,149,90,219,191,494,0.367,138,57.2
48,Trevor Booker,51,1335,17.8,17,2.3,13.6,8.6,25.7,0.213,111,0.667,127,193,65,124,8,20,8,29,81,173,0.268,165,58.8
49,Avery Bradley,36,1257,22.5,10.3,1.9,11.3,3.6,18.6,0.117,98,0.762,89,140,16,45,24,42,51,126,91,213,0.409,98,68.4
