,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FT%,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,MR FGM,MR FGA,3P%,RIM DFGA,RIM DFG%
351,Jason Terry,47,804,9.4,12.5,1.6,10.8,1.5,6.3,0.114,60,0.813,8,16,1,6,3,7,3,9,7,22,0.412,40,77.5
352,Isaiah Thomas,53,1830,34.2,10,1.1,33.8,1.8,6.9,0.444,115,0.912,203,340,44,125,40,74,33,69,117,268,0.387,94,74.5
353,Lance Thomas,32,558,13,9.5,1.2,4.2,3.1,9,0.146,57,0.857,11,27,8,24,3,8,12,36,23,68,0.429,33,60.6
354,Hollis Thompson,31,561,13.7,5.1,1.2,7.1,2.9,13.4,0.126,55,0.65,24,39,6,18,6,14,4,17,16,49,0.366,45,62.2
355,Klay Thompson,54,1844,25.6,8.8,1.1,9,2.4,9.4,0.162,102,0.841,92,145,28,62,55,115,85,181,168,358,0.422,161,62.1
356,Tristan Thompson,55,1651,11.3,10.1,0.9,3.9,14.1,21.3,0.524,131,0.515,139,213,34,73,6,13,1,2,41,88,0,326,51.2
357,Marcus Thornton,33,575,18.9,10.1,1.6,9.9,4.4,10.4,0.129,48,0.852,27,45,12,36,7,15,10,34,29,85,0.35,23,69.6
358,Anthony Tolliver,45,1042,13.2,12.5,1.4,6.2,5,14,0.218,75,0.792,23,35,13,21,2,10,8,16,23,47,0.389,125,69.6
359,Karl-Anthony Towns,57,2079,27.4,11.6,0.9,14.3,10.8,27.2,0.301,174,0.828,261,380,120,255,31,72,41,104,192,431,0.339,338,56.2
360,P.J. Tucker,57,1627,11.4,11.8,2.6,6.2,6.1,17.4,0.218,143,0.792,59,113,20,55,13,28,9,21,42,104,0.338,138,63
361,Evan Turner,50,1311,18.8,14.2,1.6,19.5,2.2,14,0.184,91,0.854,46,78,42,81,53,119,25,68,120,268,0.283,100,62
362,Myles Turner,56,1732,21,9.9,1.3,5.9,5.9,20,0.385,183,0.797,126,174,42,93,34,73,82,180,158,346,0.362,402,52.2
363,Beno Udrih,30,420,19.7,12.9,0.8,32.7,1.3,8.9,0.173,20,0.923,18,31,9,15,20,42,11,34,40,91,0.357,22,77.3
364,Tyler Ulis,36,324,19.9,17,3,21.4,3,5.6,0.133,29,0.813,4,14,10,24,17,34,10,31,37,89,0.333,23,69.6
365,Jonas Valanciunas,55,1481,19.7,11.9,0.9,4.4,12.1,29.4,0.305,153,0.852,142,235,82,151,31,73,19,51,132,275,0,289,56.7
366,Denzel Valentine,32,401,15.7,14.5,2.1,7.9,0.8,13.7,0.084,31,0.7,4,8,3,11,3,6,3,11,9,28,0.301,27,74.1
367,Fred VanVleet,21,145,21.4,5.7,3.5,18.6,2.3,12.6,0.18,18,0.818,8,20,1,9,2,4,4,9,7,22,0.389,8,75
368,Rashad Vaughn,24,277,16.7,6.8,2.2,5.2,0.4,11.3,0.021,13,0.5,9,14,1,10,0,5,5,10,6,25,0.339,35,60
369,Noah Vonleh,48,634,14.2,18,1.2,2.4,11.1,23.9,0.287,83,0.558,28,61,12,35,1,7,12,24,25,66,0.35,91,53.8
370,Nikola Vucevic,55,1569,24.4,10.7,1.7,17.4,8.3,30.9,0.156,131,0.616,94,152,83,178,69,145,72,182,224,505,0.28,267,61.8
371,Sasha Vujacic,28,229,15.1,12.4,2,13.7,1.4,14,0.234,23,0.8,0,2,1,4,9,22,11,36,21,62,0.306,19,68.4
372,Dwyane Wade,48,1458,30,10.5,2.6,22.9,3.9,12.5,0.298,90,0.797,111,196,55,131,69,166,71,182,195,479,0.322,80,65
373,Dion Waiters,34,1049,26,12,1.5,23.1,1.5,11.3,0.193,77,0.667,90,180,12,40,6,25,44,102,62,167,0.384,102,54.9
374,Kemba Walker,55,1884,28.8,10.4,1.7,29.2,2,10.9,0.259,89,0.835,184,316,21,65,22,63,57,150,100,278,0.395,116,64.7
375,John Wall,53,1940,30.5,16.7,2.9,46.4,2.5,10.9,0.344,106,0.812,203,338,33,90,35,100,104,245,172,435,0.313,118,56.8
376,Taurean Waller-Prince,33,353,17.4,16.4,1.8,8.7,2.2,17.9,0.311,39,0.906,12,26,8,17,4,13,3,7,15,37,0.275,39,51.3
377,T.J. Warren,44,1278,19.5,5.7,1.9,5.3,6,8.9,0.188,117,0.784,94,138,50,122,38,96,35,86,123,304,0.247,91,62.6
378,C.J. Watson,46,774,13.8,14.9,2.1,15.6,1.4,8.3,0.317,56,0.86,18,36,5,11,7,17,14,38,26,66,0.338,39,71.8
379,David West,42,484,17,21.9,2.8,23.8,6.4,18.6,0.261,60,0.743,25,38,16,28,5,14,25,50,46,92,0.5,104,58.7
380,Russell Westbrook,57,1974,41.8,16.1,2.3,56.3,5.8,27.5,0.441,137,0.828,232,398,22,92,108,250,80,233,210,575,0.338,121,69.4
381,Okaro White,14,226,10.8,16.4,0.7,3.7,4.4,12.7,0.41,28,0.938,6,10,1,4,2,2,1,4,4,10,0.421,36,63.9
382,Isaiah Whitehead,48,1048,18.6,21,1.2,20.2,1.6,10,0.189,121,0.825,63,129,19,55,6,17,13,43,38,115,0.315,103,63.1
383,Hassan Whiteside,52,1712,22.7,12.4,1.1,3.4,11.8,35.2,0.358,160,0.568,213,285,113,254,24,70,21,51,158,375,0,336,49.1
384,Andrew Wiggins,57,2120,28.2,9.7,1.2,11.6,3.9,9.2,0.342,121,0.753,187,284,56,142,67,156,107,271,230,569,0.355,230,66.5
385,Alan Williams,23,164,20.3,16.5,2.1,1.9,20.2,30,0.455,37,0.56,15,26,12,25,2,4,0,0,14,29,0,40,72.5
386,Deron Williams,40,1171,23.8,16.5,1.1,40,1.2,9.4,0.185,96,0.821,32,59,30,62,23,51,47,100,100,213,0.348,68,70.6
387,Derrick Williams,29,468,19.2,7.9,1.1,5.5,3.7,16.2,0.427,39,0.642,32,57,2,9,7,10,10,24,19,43,0.226,44,65.9
388,Lou Williams,58,1403,30.6,11.9,2.3,22.8,1,9.5,0.469,67,0.884,97,150,58,137,31,86,18,47,107,270,0.386,85,70.6
389,Marvin Williams,50,1423,17.4,6.6,1.3,6.6,3.6,17.3,0.172,83,0.843,57,98,27,68,13,37,11,28,51,133,0.347,135,58.5
390,Troy Williams,24,418,17.3,16.9,3,7.3,1.6,10.6,0.205,42,0.6,32,57,4,12,2,4,3,8,9,24,0.244,27,55.6
391,Justise Winslow,18,625,19.9,11.8,2.2,15.7,4,12.5,0.208,52,0.617,34,74,22,58,3,14,14,46,39,118,0.2,66,65.2
392,Jeff Withey,32,252,14,11.9,1.9,1.2,12.8,19.5,0.519,29,0.786,23,40,2,9,2,2,1,2,5,13,0,78,60.3
393,Brandan Wright,8,111,20.8,5.9,1.4,1.7,10,10.5,0.205,9,0.556,19,32,2,5,4,6,0,1,6,12,0,18,61.1
394,James Young,20,154,14,4.2,1.6,3.9,4.4,11.7,0.163,11,0.714,7,8,2,5,1,4,1,2,4,11,0.429,13,61.5
395,Joe Young,25,121,28,5.3,1.6,18.9,0.9,11.9,0.197,5,0.692,6,11,3,5,3,10,7,17,13,32,0.217,9,88.9
396,Nick Young,51,1351,19.4,4.9,1.2,6.5,1.9,7.9,0.158,122,0.849,29,46,6,17,18,43,41,85,65,145,0.413,97,76.3
397,Thaddeus Young,49,1524,16.6,13.1,2.9,8.1,5.5,16.4,0.136,95,0.571,109,167,67,125,7,21,14,40,88,186,0.396,145,58.6
398,Cody Zeller,39,1044,16.6,12.6,1.4,8.7,9.3,16.7,0.473,124,0.692,116,178,29,57,5,9,11,29,45,95,0,195,52.8
399,Tyler Zeller,35,413,16.5,9.2,0.7,12.1,10.1,17.7,0.205,44,0.577,36,61,9,25,0,2,13,35,22,62,0,76,55.3
400,Paul Zipser,23,350,14.7,13.6,1,4.1,2.4,13.8,0.275,24,0.8,9,18,5,11,1,4,3,12,9,27,0.283,45,60
401,Ivica Zubac,23,305,20.1,12.5,0.8,6.4,9.6,22.8,0.209,32,0.75,26,52,24,48,3,7,5,7,32,62,0,107,57
