,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FTM,FTA,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,3PM,3PA
121,Randy Foye,43,813,15.3,20.6,1.0,16.3,1.1,12.3,0.172,61,30,37,22.0,41.0,8.0,23.0,1.0,4.0,4.0,17.0,44,130
122,Tim Frazier,41,1028,18.0,18.9,1.8,33.9,2.1,9.9,0.336,95,79,99,56.0,90.0,13.0,49.0,5.0,21.0,22.0,52.0,29,83
123,Channing Frye,48,890,20.0,8.1,1.0,5.5,3.6,18.3,0.146,90,43,51,26.0,46.0,13.0,32.0,9.0,20.0,11.0,23.0,93,228
124,Danilo Gallinari,44,1504,19.3,8.9,0.9,9.4,1.8,14.4,0.521,67,236,266,69.0,108.0,15.0,37.0,16.0,54.0,41.0,102.0,80,210
125,Langston Galloway,55,1120,19.5,5.7,1.7,8.9,1.9,9.6,0.118,76,40,52,20.0,41.0,4.0,22.0,8.0,22.0,31.0,88.0,101,268
126,Marc Gasol,55,1891,26.9,10.6,1.4,24.0,2.6,18.3,0.308,133,231,273,,,,,,,,,77,200
127,Pau Gasol,39,1029,20.1,10.7,0.8,16.1,6.7,26.8,0.277,66,65,101,50.0,80.0,43.0,88.0,14.0,41.0,59.0,113.0,20,43
128,Rudy Gay,30,1013,25.7,12.8,2.3,14.2,4.0,17.8,0.312,79,118,138,71.0,103.0,40.0,93.0,24.0,62.0,24.0,71.0,42,113
129,Paul George,50,1786,28.1,12.7,2.2,15.5,2.7,16.4,0.279,131,222,243,71.0,115.0,40.0,93.0,45.0,110.0,113.0,243.0,115,300
130,Jonathan Gibson,17,231,26.4,16.3,1.8,18.7,0.5,11.2,0.305,21,21,29,7.0,17.0,2.0,6.0,5.0,9.0,6.0,18.0,15,45
131,Taj Gibson,55,1502,19.1,11.7,0.9,6.6,8.5,19.3,0.225,123,85,119,149.0,217.0,66.0,150.0,30.0,74.0,24.0,68.0,2,12
132,Manu Ginobili,49,904,20.9,15.5,3.0,19.5,2.3,11.6,0.265,82,69,84,33.0,65.0,11.0,43.0,10.0,31.0,2.0,19.0,65,160
133,Rudy Gobert,57,1910,16.1,15.9,1.1,4.9,13.7,29.2,0.831,172,221,334,236.0,330.0,15.0,58.0,2.0,3.0,0.0,1.0,0,1
134,Aaron Gordon,56,1548,19.6,9.1,1.3,11.2,5.1,13.4,0.244,117,89,137,116.0,169.0,19.0,58.0,23.0,56.0,26.0,87.0,56,192
135,Eric Gordon,52,1586,23.6,10.4,0.9,14.2,1.2,8.5,0.159,105,98,117,82.0,131.0,26.0,77.0,2.0,11.0,14.0,39.0,184,478
136,Marcin Gortat,55,1898,14.4,13.6,0.8,6.6,10.7,26.3,0.226,163,75,110,186.0,267.0,67.0,134.0,30.0,67.0,2.0,9.0,0,1
137,Treveon Graham,18,106,10.2,8.2,0.9,6.6,2.0,12.1,0.556,14,7,10,1.0,5.0,0.0,2.0,1.0,1.0,0.0,2.0,5,8
138,Jerami Grant,56,1189,12.2,9.1,1.0,4.0,2.4,12.0,0.461,111,73,119,64.0,100.0,15.0,38.0,0.0,10.0,7.0,24.0,32,84
139,Jerian Grant,46,757,16.3,13.1,2.2,14.1,1.6,8.7,0.268,72,54,59,24.0,41.0,6.0,22.0,13.0,28.0,13.0,34.0,32,92
140,Danny Green,48,1282,13.2,13.9,2.0,9.3,1.6,12.0,0.057,87,15,18,19.0,31.0,11.0,26.0,2.0,13.0,8.0,18.0,92,227
141,Draymond Green,53,1744,15.5,19.4,3.0,27.9,4.9,21.3,0.325,157,97,144,117.0,177.0,11.0,61.0,3.0,12.0,3.0,12.0,58,182
142,Gerald Green,36,410,22.7,7.7,0.9,11.2,4.1,13.7,0.144,39,21,26,12.0,22.0,6.0,18.0,13.0,31.0,8.0,22.0,30,82
143,JaMychal Green,56,1599,14.2,14.3,1.3,6.8,8.6,20.9,0.344,198,103,129,99.0,165.0,9.0,29.0,8.0,22.0,27.0,53.0,39,106
144,Jeff Green,56,1301,20.3,11.0,1.1,7.7,2.6,12.0,0.3,80,121,140,58.0,104.0,32.0,78.0,22.0,52.0,23.0,64.0,46,164
145,Blake Griffin,36,1198,29.6,10.8,1.6,26.3,7.3,21.4,0.413,91,188,248,,,,,,,,,11,36
146,Justin Hamilton,48,939,15.4,10.0,1.2,6.6,6.6,17.2,0.11,68,23,32,51.0,70.0,25.0,48.0,7.0,17.0,3.0,7.0,45,148
147,Tim Hardaway,54,1354,22.7,8.9,1.2,14.3,1.5,9.5,0.214,64,90,125,106.0,164.0,18.0,47.0,17.0,39.0,23.0,58.0,96,275
148,James Harden,58,2123,34.5,19.7,1.9,50.7,3.6,21.4,0.581,156,543,637,,,,,,,,,186,527
149,Maurice Harkless,52,1504,16.3,11.1,2.0,5.4,6.3,11.7,0.155,142,48,72,128.0,223.0,25.0,50.0,3.0,5.0,10.0,25.0,55,159
150,Montrezl Harrell,46,878,17.9,10.8,1.0,10.2,8.7,13.5,0.339,92,63,97,135.0,185.0,30.0,60.0,1.0,8.0,10.0,20.0,1,3
151,Devin Harris,39,652,18.4,10.6,1.8,15.9,1.5,13.2,0.381,60,64,74,19.0,45.0,6.0,18.0,2.0,4.0,5.0,16.0,33,102
152,Gary Harris,32,917,19.0,10.4,2.0,13.3,3.4,9.1,0.229,50,57,77,81.0,131.0,13.0,36.0,6.0,16.0,7.0,27.0,53,126
153,Joe Harris,48,1057,16.5,12.2,1.3,7.8,1.4,12.1,0.139,114,34,47,48.0,88.0,10.0,22.0,3.0,6.0,6.0,19.0,79,204
154,Tobias Harris,57,1803,21.9,8.4,1.1,8.2,1.9,16.4,0.198,90,131,147,101.0,146.0,86.0,168.0,59.0,130.0,43.0,84.0,73,216
155,Andrew Harrison,53,1162,16.2,15.9,2.0,20.2,1.8,8.3,0.546,157,118,154,37.0,80.0,9.0,27.0,3.0,19.0,8.0,35.0,32,123
156,Udonis Haslem,16,129,12.6,21.9,2.0,6.5,6.8,23.1,0.682,21,9,15,9.0,11.0,2.0,5.0,0.0,4.0,0.0,2.0,0,2
157,Spencer Hawes,35,626,19.4,14.7,1.0,16.2,5.5,19.5,0.156,61,30,34,51.0,79.0,20.0,37.0,12.0,26.0,5.0,21.0,16,55
