,USG%,TOV%,STL%,AST%,ORB%,DRB%,PFP36,FTR,FT%,RIM FGR,RIM FG%,MR FGR,MR FG%,3PAR,3P%,RIM DFGAP36,RIM DFG%,kmeans_label,Name
34,24.4,13.5,1.5,10.3,5.0,19.0,3.409,0.282,0.71,0.306,0.693,0.582,0.469,0.112,0.432,4.0,56.8,2,Michael Beasley
35,19.0,9.3,1.3,12.1,0.9,10.1,1.976,0.235,0.885,0.125,0.667,0.4,0.428,0.475,0.376,1.862,83.1,6,Marco Belinelli
36,14.7,11.1,0.9,11.2,3.3,13.3,2.007,0.189,0.429,0.595,0.636,0.257,0.368,0.149,0.0,2.677,55.0,7,DeAndre' Bembry
37,13.5,17.5,0.9,5.0,3.6,15.7,4.491,0.065,0.375,0.194,0.625,0.153,0.263,0.653,0.321,4.64,56.5,0,Dragan Bender
38,19.4,10.0,0.9,7.1,10.1,21.0,2.455,0.391,0.722,0.37,0.676,0.109,0.2,0.522,0.271,4.227,71.0,1,Anthony Bennett
39,15.3,10.6,1.3,8.8,3.2,10.3,3.561,0.194,0.8,0.168,0.692,0.103,0.375,0.729,0.389,6.345,58.2,0,Davis Bertans
40,14.1,14.2,2.3,20.2,4.7,15.8,3.833,0.118,0.814,0.199,0.606,0.275,0.388,0.525,0.39,3.78,68.1,0,Patrick Beverley
41,13.1,17.8,0.7,6.2,9.0,25.5,3.69,0.707,0.494,0.574,0.671,0.426,0.327,0.0,0.0,7.433,58.4,1,Bismack Biyombo
42,16.5,14.2,1.8,9.4,4.5,17.9,4.714,0.179,0.74,0.238,0.612,0.235,0.47,0.527,0.311,5.588,55.1,2,Nemanja Bjelica
43,16.4,14.3,1.2,6.5,14.7,21.7,6.152,0.407,0.718,0.665,0.626,0.325,0.279,0.01,0.5,7.065,56.5,1,Tarik Black
44,28.2,14.7,2.0,31.5,2.9,14.0,2.824,0.442,0.85,0.283,0.611,0.419,0.405,0.298,0.332,3.366,64.9,5,Eric Bledsoe
45,22.4,11.8,0.8,10.1,1.7,12.3,2.405,0.273,0.874,0.319,0.61,0.227,0.367,0.453,0.357,2.915,66.7,6,Bojan Bogdanovic
46,10.5,33.4,1.2,12.3,10.5,34.3,5.196,0.136,0.273,0.451,0.568,0.537,0.386,0.012,0.0,5.876,52.6,3,Andrew Bogut
47,27.9,12.7,1.2,15.6,1.9,7.2,3.315,0.286,0.827,0.214,0.594,0.498,0.387,0.288,0.367,2.57,57.2,6,Devin Booker
48,17.8,17.0,2.3,13.6,8.6,25.7,2.993,0.213,0.667,0.457,0.658,0.41,0.468,0.133,0.268,4.449,58.8,2,Trevor Booker
49,22.5,10.3,1.9,11.3,3.6,18.6,2.807,0.117,0.762,0.26,0.636,0.395,0.427,0.345,0.409,2.807,68.4,6,Avery Bradley
50,13.1,12.7,2.0,9.0,2.5,11.2,4.056,0.194,0.727,0.383,0.598,0.203,0.435,0.414,0.234,3.042,64.1,0,Corey Brewer
51,18.1,15.2,2.3,23.9,2.7,9.3,2.586,0.215,0.851,0.393,0.547,0.317,0.324,0.29,0.417,2.945,72.2,3,Malcolm Brogdon
52,19.6,17.3,1.7,22.5,2.4,6.4,3.545,0.128,0.793,0.177,0.425,0.376,0.482,0.447,0.337,2.345,76.7,3,Aaron Brooks
53,15.6,10.7,1.5,7.7,5.3,16.9,3.396,0.0,0.0,0.14,0.571,0.32,0.438,0.54,0.259,3.396,73.3,7,Anthony Brown
54,18.0,11.2,1.3,6.1,3.8,14.8,3.99,0.337,0.721,0.434,0.596,0.291,0.301,0.275,0.304,2.762,54.0,0,Jaylen Brown
55,14.1,15.1,2.1,15.4,4.5,16.5,3.073,0.155,0.667,0.069,0.75,0.259,0.533,0.672,0.308,3.366,56.5,0,Nicolas Brussino
56,15.0,8.2,1.4,8.0,3.0,11.5,2.488,0.062,0.5,0.246,0.813,0.262,0.294,0.492,0.313,2.82,64.7,7,Reggie Bullock
57,19.6,14.7,0.8,21.0,1.3,6.6,2.743,0.107,0.72,0.151,0.514,0.591,0.453,0.259,0.417,2.407,69.8,3,Trey Burke
58,22.7,11.7,2.0,6.9,1.9,11.9,3.273,0.376,0.682,0.303,0.455,0.358,0.538,0.339,0.324,2.483,68.2,6,Alec Burks
59,27.2,9.3,2.5,23.1,4.8,14.0,1.678,0.582,0.868,0.268,0.599,0.521,0.422,0.211,0.337,2.661,67.4,5,Jimmy Butler
60,15.3,24.8,1.2,25.2,2.9,12.7,2.712,0.052,1.0,0.104,0.75,0.455,0.4,0.442,0.353,3.205,92.3,3,Jose Calderon
61,19.3,8.5,1.9,12.4,2.5,8.6,1.801,0.197,0.833,0.156,0.63,0.391,0.364,0.453,0.372,1.821,73.0,6,Kentavious Caldwell-Pope
62,15.0,9.7,1.9,9.0,1.1,7.9,2.203,0.189,0.903,0.146,0.542,0.317,0.462,0.537,0.273,1.951,71.0,6,Isaiah Canaan
63,19.6,11.6,1.0,6.3,11.2,24.4,4.068,0.321,0.5,0.756,0.734,0.244,0.365,0.0,0.0,9.72,55.9,1,Clint Capela
64,15.8,7.7,2.2,5.3,3.7,13.1,2.59,0.204,0.77,0.164,0.614,0.265,0.416,0.571,0.352,3.681,55.9,0,DeMarre Carroll
65,15.4,6.8,1.7,11.7,2.3,13.2,3.414,0.25,0.721,0.192,0.5,0.218,0.347,0.59,0.365,2.426,56.8,0,Vince Carter
66,20.7,15.9,1.8,18.3,3.3,19.8,4.166,0.286,0.763,0.203,0.659,0.584,0.373,0.213,0.209,3.295,50.9,2,Michael Carter-Williams
67,16.3,11.9,1.3,10.3,5.9,20.6,2.086,0.179,0.571,0.453,0.604,0.299,0.286,0.248,0.379,3.446,65.8,7,Omri Casspi
68,19.5,10.4,2.0,6.9,8.4,16.0,4.937,0.283,0.603,0.516,0.713,0.475,0.406,0.009,0.0,6.157,57.7,8,Willie Cauley-Stein
69,11.4,19.2,1.2,3.3,12.8,33.7,3.495,0.544,0.734,0.895,0.711,0.105,0.333,0.0,0.0,6.074,61.6,1,Tyson Chandler
70,22.3,10.5,1.4,10.6,5.6,18.7,2.798,0.206,0.732,0.259,0.682,0.419,0.404,0.323,0.338,3.567,52.9,2,Wilson Chandler
71,19.7,12.2,2.0,5.1,6.5,14.4,5.854,0.261,0.631,0.398,0.567,0.251,0.354,0.35,0.297,3.903,69.0,0,Marquese Chriss
72,14.1,14.3,1.2,21.5,2.6,8.0,3.051,0.146,0.478,0.283,0.533,0.453,0.306,0.264,0.19,3.234,71.7,7,Semaj Christon
73,18.9,10.4,1.8,12.1,2.0,8.6,2.525,0.149,0.75,0.224,0.633,0.362,0.474,0.414,0.396,1.981,75.0,6,Ian Clark
74,23.1,12.7,2.2,12.6,2.6,9.1,2.495,0.157,0.782,0.25,0.623,0.441,0.437,0.31,0.332,2.45,68.5,6,Jordan Clarkson
75,19.7,12.4,1.7,22.4,1.5,6.5,2.185,0.223,0.856,0.239,0.635,0.487,0.44,0.275,0.421,1.449,73.8,6,Darren Collison
76,26.1,12.1,2.1,34.6,1.8,10.7,1.868,0.35,0.861,0.197,0.6,0.4,0.394,0.403,0.41,2.922,71.3,5,Mike Conley
77,11.0,12.3,1.0,10.8,5.0,12.7,2.4,0.231,0.778,0.421,0.625,0.158,0.167,0.421,0.438,3.138,41.2,0,Pat Connaughton
78,37.5,13.2,2.0,27.9,7.1,29.1,3.865,0.491,0.77,0.327,0.614,0.433,0.384,0.24,0.354,5.35,53.4,5,DeMarcus Cousins
79,18.7,14.4,3.0,8.0,5.1,16.8,3.452,0.222,0.791,0.273,0.576,0.139,0.254,0.588,0.327,3.127,59.3,0,Robert Covington
80,14.9,9.0,1.0,6.5,1.0,9.8,2.801,0.213,0.865,0.148,0.652,0.405,0.414,0.447,0.43,2.01,70.8,6,Allen Crabbe
81,23.2,13.0,1.4,16.6,1.0,5.9,1.891,0.214,0.842,0.093,0.586,0.544,0.412,0.363,0.344,1.963,64.6,6,Jamal Crawford
82,16.6,8.3,1.6,9.9,2.2,15.9,2.546,0.254,0.866,0.189,0.807,0.247,0.348,0.563,0.405,2.428,65.0,0,Jae Crowder
83,11.0,7.2,1.0,3.9,3.5,14.2,2.352,0.059,0.571,0.257,0.574,0.232,0.382,0.511,0.388,4.636,64.0,7,Dante Cunningham
84,18.9,10.9,2.2,16.3,1.7,9.3,2.403,0.121,0.8,0.137,0.627,0.4,0.467,0.463,0.416,1.864,73.7,6,Seth Curry
85,29.0,12.7,2.4,29.1,2.1,11.4,2.35,0.256,0.916,0.214,0.644,0.234,0.447,0.552,0.41,1.763,70.0,5,Stephen Curry
86,22.1,7.2,1.0,6.5,1.9,6.9,2.863,0.139,0.818,0.057,0.333,0.243,0.39,0.7,0.392,3.105,64.1,4,Troy Daniels
87,32.5,9.9,1.7,11.7,6.5,28.3,2.335,0.428,0.801,0.263,0.683,0.658,0.456,0.079,0.306,5.324,55.4,5,Anthony Davis
88,13.2,14.9,0.3,1.7,10.3,21.7,6.098,0.385,0.533,0.667,0.615,0.333,0.308,0.0,0.0,6.295,40.6,1,Deyonta Davis
89,11.8,17.3,1.0,4.9,13.1,20.8,6.216,0.54,0.627,0.719,0.58,0.281,0.41,0.0,0.0,5.567,55.8,1,Ed Davis
90,12.6,14.1,1.6,4.7,11.0,31.2,5.036,0.365,0.708,0.691,0.707,0.309,0.436,0.0,0.0,5.743,49.3,1,Dewayne Dedmon
91,15.9,8.7,1.4,8.1,7.8,14.0,2.11,0.154,0.589,0.427,0.662,0.136,0.367,0.438,0.323,4.409,61.4,7,Sam Dekker
92,18.9,17.8,1.5,22.9,0.9,10.1,3.197,0.233,0.811,0.126,0.45,0.593,0.436,0.281,0.258,1.671,82.6,3,Malcolm Delaney
93,15.9,19.5,1.6,27.3,1.5,7.2,2.771,0.206,0.803,0.159,0.418,0.449,0.413,0.391,0.363,2.337,66.3,3,Matthew Dellavedova
94,14.2,8.7,1.6,7.0,4.4,17.5,1.46,0.152,0.73,0.278,0.626,0.331,0.277,0.391,0.315,3.81,68.2,7,Luol Deng
95,34.2,8.6,1.6,19.3,3.1,13.9,1.927,0.407,0.845,0.14,0.689,0.789,0.443,0.071,0.253,2.048,67.3,5,DeMar DeRozan
96,15.6,22.1,0.8,18.4,3.6,9.1,2.436,0.112,0.792,0.366,0.692,0.366,0.333,0.268,0.263,4.252,61.2,3,Boris Diaw
97,14.5,12.4,1.6,8.6,8.1,20.7,3.61,0.22,0.781,0.333,0.629,0.606,0.464,0.061,0.379,6.805,60.6,2,Gorgui Dieng
98,14.4,16.0,1.2,19.8,1.8,11.1,3.37,0.423,0.845,0.296,0.54,0.42,0.394,0.284,0.417,2.809,61.8,4,Spencer Dinwiddie
99,18.2,15.5,2.4,21.0,2.3,17.0,4.332,0.274,0.85,0.151,0.455,0.479,0.457,0.37,0.222,2.838,57.9,3,Toney Douglas
100,26.6,15.3,1.5,31.0,2.4,10.0,2.936,0.331,0.785,0.27,0.622,0.478,0.438,0.251,0.428,3.0,57.9,5,Goran Dragic
101,23.5,13.0,2.9,5.6,14.6,36.2,3.463,0.366,0.439,0.491,0.682,0.5,0.381,0.009,0.333,5.574,61.7,1,Andre Drummond
102,13.7,16.0,1.4,11.2,2.6,15.5,4.217,0.197,0.634,0.183,0.711,0.25,0.442,0.567,0.432,4.87,58.0,0,Jared Dudley
103,14.0,11.9,0.8,8.1,2.1,13.0,2.954,0.174,0.767,0.203,0.657,0.169,0.276,0.628,0.389,2.954,51.9,0,Mike Dunleavy
104,14.9,23.9,2.7,21.1,2.1,13.3,4.49,0.245,0.58,0.24,0.49,0.52,0.349,0.24,0.265,3.061,61.3,3,Kris Dunn
105,27.8,10.4,1.6,22.4,2.1,22.9,2.015,0.374,0.876,0.268,0.796,0.432,0.494,0.3,0.374,4.613,58.8,5,Kevin Durant
106,17.8,4.6,1.3,7.9,1.2,7.3,1.744,0.096,0.912,0.056,0.8,0.295,0.457,0.649,0.355,2.746,63.5,6,Wayne Ellington
107,16.0,18.9,1.7,17.8,0.7,10.7,2.678,0.273,0.787,0.234,0.658,0.533,0.4,0.234,0.304,2.002,68.9,3,Monta Ellis
108,36.2,17.9,1.7,16.4,8.5,25.6,5.13,0.569,0.783,0.326,0.636,0.445,0.393,0.228,0.367,8.565,43.9,2,Joel Embiid
109,13.2,14.7,1.6,6.1,5.7,13.4,4.122,0.347,0.786,0.405,0.612,0.165,0.3,0.43,0.413,3.027,66.0,0,James Ennis
110,19.5,26.9,1.5,24.5,2.3,8.5,5.327,0.047,0.667,0.328,0.667,0.422,0.185,0.25,0.375,3.673,80.0,3,Tyler Ennis
111,27.3,13.4,2.4,31.8,1.3,17.9,3.114,0.256,0.776,0.445,0.535,0.247,0.286,0.308,0.3,3.57,66.0,5,Tyreke Evans
112,17.7,15.3,0.9,14.1,2.3,8.7,4.483,0.159,0.838,0.435,0.574,0.151,0.457,0.414,0.271,2.727,62.7,0,Dante Exum
113,17.3,10.9,1.6,5.9,15.6,24.3,3.469,0.54,0.689,0.677,0.643,0.306,0.421,0.016,0.0,4.878,62.7,1,Kenneth Faried
114,20.7,11.4,2.1,7.5,8.6,20.8,3.224,0.296,0.635,0.375,0.559,0.6,0.434,0.025,0.25,6.294,53.7,8,Derrick Favors
115,22.4,13.2,1.9,20.7,1.0,10.0,3.684,0.341,0.711,0.326,0.512,0.523,0.362,0.152,0.35,1.684,68.8,3,Kay Felder
116,12.5,10.1,1.2,5.7,14.0,19.6,3.968,0.478,0.662,0.709,0.652,0.291,0.326,0.0,0.0,8.032,60.1,1,Cristiano Felicio
117,17.1,12.9,1.8,17.4,2.6,11.8,2.891,0.104,0.78,0.279,0.627,0.426,0.363,0.294,0.371,2.54,71.3,3,Raymond Felton
118,19.7,15.4,1.9,21.5,1.8,8.4,2.62,0.247,0.821,0.2,0.581,0.316,0.347,0.484,0.4,2.17,58.6,0,Yogi Ferrell
119,11.1,12.7,1.6,6.1,3.2,11.9,2.929,0.221,0.766,0.241,0.667,0.156,0.303,0.604,0.313,3.402,61.1,0,Dorian Finney-Smith
120,23.7,12.8,1.4,17.1,2.2,8.8,3.048,0.29,0.82,0.277,0.602,0.362,0.406,0.361,0.343,2.274,62.8,6,Evan Fournier
121,15.3,20.6,1.0,16.3,1.1,12.3,2.701,0.172,0.811,0.191,0.537,0.205,0.295,0.605,0.338,3.144,59.2,0,Randy Foye
122,18.0,18.9,1.8,33.9,2.1,9.9,3.327,0.336,0.798,0.305,0.622,0.414,0.328,0.281,0.349,2.696,71.4,3,Tim Frazier
123,20.0,8.1,1.0,5.5,3.6,18.3,3.64,0.146,0.843,0.132,0.565,0.215,0.44,0.653,0.408,7.038,59.8,2,Channing Frye
124,19.3,8.9,0.9,9.4,1.8,14.4,1.604,0.521,0.887,0.211,0.639,0.378,0.373,0.411,0.381,2.705,66.4,6,Danilo Gallinari
125,19.5,5.7,1.7,8.9,1.9,9.6,2.443,0.118,0.769,0.093,0.488,0.299,0.326,0.608,0.377,2.282,60.6,6,Langston Galloway
126,26.9,10.6,1.4,24.0,2.6,18.3,2.532,0.308,0.846,0.126,0.679,0.648,0.453,0.226,0.385,5.673,51.7,2,Marc Gasol
127,20.1,10.7,0.8,16.1,6.7,26.8,2.309,0.277,0.644,0.219,0.625,0.663,0.479,0.118,0.465,6.682,56.5,2,Pau Gasol
128,25.7,12.8,2.3,14.2,4.0,17.8,2.808,0.312,0.855,0.233,0.689,0.511,0.389,0.256,0.372,3.447,48.5,2,Rudy Gay
129,28.1,12.7,2.2,15.5,2.7,16.4,2.641,0.279,0.914,0.134,0.617,0.518,0.444,0.348,0.383,2.983,66.9,5,Paul George
130,26.4,16.3,1.8,18.7,0.5,11.2,3.273,0.305,0.724,0.179,0.412,0.347,0.394,0.474,0.333,2.649,82.4,3,Jonathan Gibson
131,19.1,11.7,0.9,6.6,8.5,19.3,2.948,0.225,0.714,0.417,0.687,0.56,0.411,0.023,0.167,5.033,53.3,8,Taj Gibson
132,20.9,15.5,3.0,19.5,2.3,11.6,3.265,0.265,0.821,0.204,0.508,0.292,0.247,0.503,0.406,1.752,70.5,3,Manu Ginobili
133,16.1,15.9,1.1,4.9,13.7,29.2,3.242,0.831,0.662,0.84,0.715,0.158,0.274,0.003,0.0,8.425,48.5,1,Rudy Gobert
134,19.6,9.1,1.3,11.2,5.1,13.4,2.721,0.244,0.65,0.301,0.686,0.358,0.338,0.342,0.292,3.116,59.0,6,Aaron Gordon
135,23.6,10.4,0.9,14.2,1.2,8.5,2.383,0.159,0.838,0.178,0.626,0.173,0.331,0.649,0.385,2.247,65.7,6,Eric Gordon
136,14.4,13.6,0.8,6.6,10.7,26.3,3.092,0.226,0.682,0.559,0.697,0.439,0.471,0.002,0.0,7.378,59.1,8,Marcin Gortat
137,10.2,8.2,0.9,6.6,2.0,12.1,4.755,0.556,0.7,0.278,0.2,0.278,0.2,0.444,0.625,2.717,87.5,4,Treveon Graham
138,12.2,9.1,1.0,4.0,2.4,12.0,3.361,0.461,0.613,0.391,0.64,0.281,0.306,0.328,0.381,4.36,52.8,0,Jerami Grant
139,16.3,13.1,2.2,14.1,1.6,8.7,3.424,0.268,0.915,0.189,0.585,0.387,0.381,0.424,0.348,3.091,66.2,0,Jerian Grant
140,13.2,13.9,2.0,9.3,1.6,12.0,2.443,0.057,0.833,0.098,0.613,0.181,0.368,0.721,0.405,3.763,63.4,0,Danny Green
141,15.5,19.4,3.0,27.9,4.9,21.3,3.241,0.325,0.674,0.399,0.661,0.191,0.2,0.41,0.319,6.378,48.5,0,Draymond Green
142,22.7,7.7,0.9,11.2,4.1,13.7,3.424,0.144,0.808,0.126,0.545,0.406,0.38,0.469,0.366,3.249,75.7,6,Gerald Green
143,14.2,14.3,1.3,6.8,8.6,20.9,4.458,0.344,0.798,0.44,0.6,0.277,0.423,0.283,0.368,3.445,59.5,2,JaMychal Green
144,20.3,11.0,1.1,7.7,2.6,12.0,2.214,0.3,0.864,0.225,0.558,0.42,0.397,0.355,0.28,4.206,70.4,6,Jeff Green
145,29.6,10.8,1.6,26.3,7.3,21.4,2.735,0.413,0.758,0.372,0.641,0.568,0.409,0.06,0.306,4.207,66.4,5,Blake Griffin
146,15.4,10.0,1.2,6.6,6.6,17.2,2.607,0.11,0.719,0.241,0.729,0.248,0.486,0.51,0.304,8.473,58.8,2,Justin Hamilton
147,22.7,8.9,1.2,14.3,1.5,9.5,1.702,0.214,0.72,0.281,0.646,0.247,0.403,0.472,0.349,1.648,58.1,6,Tim Hardaway
148,34.5,19.7,1.9,50.7,3.6,21.4,2.645,0.581,0.852,0.225,0.687,0.294,0.398,0.481,0.353,3.781,70.4,5,James Harden
149,16.3,11.1,2.0,5.4,6.3,11.7,3.399,0.155,0.667,0.483,0.574,0.173,0.475,0.344,0.346,3.279,53.3,0,Maurice Harkless
150,17.9,10.8,1.0,10.2,8.7,13.5,3.772,0.339,0.649,0.67,0.73,0.319,0.466,0.011,0.333,6.191,62.9,8,Montrezl Harrell
151,18.4,10.6,1.8,15.9,1.5,13.2,3.313,0.381,0.865,0.243,0.422,0.205,0.342,0.551,0.324,2.098,71.1,4,Devin Harris
152,19.0,10.4,2.0,13.3,3.4,9.1,1.963,0.229,0.74,0.39,0.618,0.235,0.329,0.375,0.421,1.688,72.1,7,Gary Harris
153,16.5,12.2,1.3,7.8,1.4,12.1,3.883,0.139,0.723,0.26,0.545,0.139,0.404,0.602,0.387,3.202,71.3,0,Joe Harris
154,21.9,8.4,1.1,8.2,1.9,16.4,1.797,0.198,0.891,0.196,0.692,0.513,0.492,0.29,0.338,3.634,62.6,6,Tobias Harris
155,16.2,15.9,2.0,20.2,1.8,8.3,4.864,0.546,0.766,0.282,0.463,0.285,0.247,0.433,0.26,2.819,61.5,4,Andrew Harrison
156,12.6,21.9,2.0,6.5,6.8,23.1,5.86,0.682,0.6,0.458,0.818,0.458,0.182,0.083,0.0,5.86,71.4,1,Udonis Haslem
157,19.4,14.7,1.0,16.2,5.5,19.5,3.508,0.156,0.882,0.362,0.646,0.385,0.44,0.252,0.291,6.153,62.6,2,Spencer Hawes
158,27.6,9.2,1.5,18.3,2.1,16.1,1.684,0.427,0.87,0.228,0.69,0.434,0.405,0.337,0.385,1.788,62.8,5,Gordon Hayward
159,17.6,9.7,1.2,11.2,1.8,9.7,2.584,0.288,0.851,0.221,0.674,0.494,0.396,0.285,0.369,2.701,70.7,6,Gerald Henderson
160,16.4,14.2,1.4,8.0,8.1,20.9,4.684,0.401,0.707,0.49,0.636,0.506,0.392,0.004,0.0,7.665,61.6,8,John Henson
161,13.5,8.6,1.6,5.4,6.7,18.7,3.023,0.364,0.702,0.364,0.596,0.163,0.19,0.473,0.426,4.57,69.2,0,Juan Hernangomez
162,18.7,17.0,1.4,10.2,13.2,27.3,3.745,0.283,0.729,0.628,0.645,0.328,0.383,0.045,0.273,9.129,55.9,1,Willy Hernangomez
163,20.7,17.0,1.6,9.8,2.3,14.7,3.006,0.098,0.765,0.174,0.6,0.366,0.302,0.459,0.316,3.392,63.6,0,Mario Hezonja
164,13.8,14.9,0.6,4.5,8.5,15.8,5.204,0.521,0.813,0.389,0.696,0.611,0.443,0.0,0.0,7.028,47.3,8,Roy Hibbert
165,20.4,9.0,0.8,10.4,1.7,13.4,2.512,0.07,0.879,0.246,0.517,0.242,0.316,0.512,0.369,3.318,73.8,6,Buddy Hield
166,19.0,15.3,2.2,8.1,8.0,17.1,5.218,0.558,0.59,0.582,0.724,0.39,0.454,0.028,0.429,7.323,70.1,1,Nene Hilario
167,24.1,9.1,1.6,22.4,2.1,10.3,2.849,0.324,0.791,0.211,0.678,0.4,0.448,0.388,0.394,2.386,71.6,6,George Hill
168,11.2,13.2,1.5,8.4,1.9,11.7,2.898,0.271,0.807,0.281,0.547,0.16,0.265,0.559,0.357,3.635,64.6,0,Solomon Hill
