,Player1,Player2,Player3,Player4,Player5,Team,GP,MP,POSS,DPOSS,DFGM,DFGA,D3PM,D3PA,DFTM,DFTA,DPTS
0,Bradley Beal,Marcin Gortat,Markieff Morris,Otto Porter,John Wall,WAS,47,940.8,1897,1870,746,1631,182,523,271,368,1945
1,Gorgui Dieng,Zach LaVine,Ricky Rubio,Karl-Anthony Towns,Andrew Wiggins,MIN,41,879.8,1719,1699,737,1550,194,490,247,322,1915
2,Steven Adams,Victor Oladipo,Andre Roberson,Domantas Sabonis,Russell Westbrook,OKC,45,583.9,1156,1149,462,1062,109,303,141,187,1174
3,Stephen Curry,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,GSW,40,507.8,1051,1051,421,948,96,300,111,150,1049
4,Nicolas Batum,Michael Kidd-Gilchrist,Kemba Walker,Marvin Williams,Cody Zeller,CHO,28,489.2,954,965,384,859,120,322,99,126,987
5,Carmelo Anthony,Courtney Lee,Joakim Noah,Kristaps Porzingis,Derrick Rose,NYK,28,395.1,777,779,351,742,81,221,112,140,895
6,Blake Griffin,DeAndre Jordan,Luc Mbah a Moute,Chris Paul,J.J. Redick,LAC,23,446.9,891,894,343,813,89,221,110,135,885
7,Giannis Antetokounmpo,Matthew Dellavedova,John Henson,Jabari Parker,Tony Snell,MIL,30,389.1,785,777,312,710,83,234,147,187,854
8,Luol Deng,Timofey Mozgov,Julius Randle,D'Angelo Russell,Nick Young,LAL,28,402.8,804,802,331,715,69,218,121,159,852
9,DeMarre Carroll,DeMar DeRozan,Kyle Lowry,Pascal Siakam,Jonas Valanciunas,TOR,32,363.9,695,703,330,639,87,201,89,120,836
10,Jimmy Butler,Taj Gibson,Robin Lopez,Rajon Rondo,Dwyane Wade,CHI,30,390.4,761,770,341,700,68,157,80,115,830
11,Kentavious Caldwell-Pope,Andre Drummond,Tobias Harris,Marcus Morris,Ish Smith,DET,41,375.8,725,730,317,664,76,191,103,132,813
12,Monta Ellis,Paul George,Jeff Teague,Myles Turner,Thaddeus Young,IND,32,357.8,739,734,313,670,77,215,108,133,811
13,Paul George,Glenn Robinson,Jeff Teague,Myles Turner,Thaddeus Young,IND,25,366.6,753,757,307,697,82,220,91,107,787
14,Ryan Anderson,Trevor Ariza,Patrick Beverley,Clint Capela,James Harden,HOU,27,319.4,644,637,291,565,63,158,85,107,730
15,LaMarcus Aldridge,Pau Gasol,Danny Green,Kawhi Leonard,Tony Parker,SAS,23,343.2,661,658,269,613,54,153,100,125,692
16,Eric Bledsoe,Devin Booker,Tyson Chandler,Marquese Chriss,T.J. Warren,PHO,26,295.3,606,599,267,540,61,153,91,117,686
17,Kyrie Irving,LeBron James,Kevin Love,J.R. Smith,Tristan Thompson,CLE,18,299.3,600,604,266,572,52,158,67,94,651
18,Evan Fournier,Aaron Gordon,Serge Ibaka,Elfrid Payton,Nikola Vucevic,ORL,38,296.3,580,573,245,513,53,147,96,131,639
19,Kentavious Caldwell-Pope,Andre Drummond,Reggie Jackson,Jon Leuer,Marcus Morris,DET,25,295.3,578,574,259,518,56,144,61,80,635
20,Eric Bledsoe,Devin Booker,Tyson Chandler,Marquese Chriss,P.J. Tucker,PHO,33,283.6,566,565,235,482,61,138,99,126,630
21,Kentavious Caldwell-Pope,Andre Drummond,Tobias Harris,Reggie Jackson,Marcus Morris,DET,28,271.1,524,510,244,459,62,136,71,88,621
22,Kent Bazemore,Dwight Howard,Paul Millsap,Dennis Schroder,Thabo Sefolosha,ATL,26,296.1,584,583,221,531,56,164,80,103,578
23,Avery Bradley,Jae Crowder,Al Horford,Amir Johnson,Isaiah Thomas,BOS,21,251.4,493,482,205,447,45,122,74,97,529
24,Ryan Anderson,Trevor Ariza,Clint Capela,Eric Gordon,James Harden,HOU,32,242.2,471,490,215,451,33,117,49,63,512
25,Al-Farouq Aminu,Maurice Harkless,Damian Lillard,C.J. McCollum,Mason Plumlee,POR,20,248.8,487,482,194,451,48,126,70,92,506
26,Stephen Curry,Kevin Durant,Draymond Green,Andre Iguodala,Klay Thompson,GSW,44,213.6,463,462,163,413,38,131,106,145,470
27,Wilson Chandler,Danilo Gallinari,Gary Harris,Nikola Jokic,Emmanuel Mudiay,DEN,15,186.3,380,372,176,349,47,109,46,61,445
28,Kent Bazemore,Dwight Howard,Kyle Korver,Paul Millsap,Dennis Schroder,ATL,21,205.3,410,410,170,379,44,113,57,70,441
29,Kyrie Irving,LeBron James,Kevin Love,Iman Shumpert,Tristan Thompson,CLE,26,196.7,400,403,167,372,44,138,54,67,432
30,Tony Allen,Mike Conley,Marc Gasol,JaMychal Green,Chandler Parsons,MEM,20,212.0,401,407,163,346,37,110,68,98,431
31,Ryan Anderson,Trevor Ariza,Patrick Beverley,James Harden,Montrezl Harrell,HOU,28,189.1,391,389,162,342,45,126,58,79,427
32,Kent Bazemore,Tim Hardaway,Dwight Howard,Paul Millsap,Dennis Schroder,ATL,27,199.8,393,396,163,369,54,146,47,70,427
33,D.J. Augustin,Bismack Biyombo,Evan Fournier,Aaron Gordon,Serge Ibaka,ORL,25,196.4,375,367,165,348,38,84,53,68,421
34,Bojan Bogdanovic,Trevor Booker,Sean Kilpatrick,Brook Lopez,Isaiah Whitehead,BRK,25,178.7,372,363,164,336,48,103,44,58,420
35,Jamal Crawford,Raymond Felton,Wesley Johnson,Austin Rivers,Marreese Speights,LAC,30,208.7,412,415,154,361,28,80,81,98,417
36,Ed Davis,Maurice Harkless,Damian Lillard,C.J. McCollum,Mason Plumlee,POR,13,164.5,325,322,159,290,53,92,41,62,412
37,Tarik Black,Jordan Clarkson,Brandon Ingram,Larry Nance Jr.,Lou Williams,LAL,23,195.4,396,395,148,354,38,119,75,95,409
38,Paul George,C.J. Miles,Jeff Teague,Myles Turner,Thaddeus Young,IND,25,192.9,391,390,126,301,38,114,113,137,403
39,Cory Joseph,Kyle Lowry,Lucas Nogueira,Patrick Patterson,Terrence Ross,TOR,30,198.8,367,364,155,332,41,109,45,55,396
40,Gorgui Dieng,Ricky Rubio,Brandon Rush,Karl-Anthony Towns,Andrew Wiggins,MIN,16,181.9,349,353,154,326,41,112,46,63,395
41,Giannis Antetokounmpo,Malcolm Brogdon,John Henson,Jabari Parker,Tony Snell,MIL,28,183.5,347,348,146,325,38,92,61,84,391
42,Bradley Beal,Marcin Gortat,Kelly Oubre,Otto Porter,John Wall,WAS,32,185.9,382,385,141,318,28,96,73,92,383
43,Ryan Anderson,Trevor Ariza,Eric Gordon,James Harden,Montrezl Harrell,HOU,30,167.7,356,349,141,314,39,103,62,88,383
44,Eric Bledsoe,Devin Booker,Tyson Chandler,P.J. Tucker,T.J. Warren,PHO,28,156.6,338,320,136,274,35,91,74,96,381
45,Gorgui Dieng,Kris Dunn,Zach LaVine,Karl-Anthony Towns,Andrew Wiggins,MIN,28,159.2,309,313,145,260,33,82,56,69,379
46,Dante Cunningham,Anthony Davis,Buddy Hield,Solomon Hill,Jrue Holiday,NOP,19,189.3,376,374,149,341,29,98,41,59,368
47,Kyrie Irving,LeBron James,DeAndre Liggins,Kevin Love,Tristan Thompson,CLE,12,181.1,365,365,150,323,38,109,25,34,363
48,Evan Fournier,Jeff Green,Serge Ibaka,Elfrid Payton,Nikola Vucevic,ORL,26,180.6,365,361,140,329,32,96,38,54,350
49,Nicolas Batum,Roy Hibbert,Michael Kidd-Gilchrist,Kemba Walker,Marvin Williams,CHO,20,170.5,327,328,133,319,35,95,43,54,344
50,Kevin Durant,Andre Iguodala,Shaun Livingston,Klay Thompson,David West,GSW,35,165.9,324,320,123,293,32,98,46,60,324
51,Ryan Anderson,Trevor Ariza,Eric Gordon,James Harden,Nene Hilario,HOU,36,154.6,333,329,111,271,30,92,66,85,318
52,Luke Babbitt,Goran Dragic,Rodney McGruder,Dion Waiters,Hassan Whiteside,MIA,16,141.7,275,274,127,249,21,63,41,57,316
53,Trevor Ariza,Sam Dekker,Eric Gordon,James Harden,Nene Hilario,HOU,34,135.4,297,297,117,256,28,81,51,60,313
54,Jae Crowder,Al Horford,Amir Johnson,Marcus Smart,Isaiah Thomas,BOS,20,151.1,289,290,121,253,22,68,44,58,308
55,Tony Allen,Mike Conley,James Ennis,Marc Gasol,JaMychal Green,MEM,23,152.6,277,279,108,246,38,99,51,60,305
56,DeMarre Carroll,DeMar DeRozan,Kyle Lowry,Patrick Patterson,Jonas Valanciunas,TOR,25,147.4,277,282,110,265,26,88,49,60,295
57,Arron Afflalo,DeMarcus Cousins,Rudy Gay,Kosta Koufos,Ty Lawson,SAC,14,144.6,280,278,121,258,20,66,31,45,293
58,Giannis Antetokounmpo,Matthew Dellavedova,Jabari Parker,Miles Plumlee,Tony Snell,MIL,14,137.4,271,274,103,249,32,82,45,50,283
59,Harrison Barnes,Seth Curry,Wesley Matthews,Dirk Nowitzki,Deron Williams,DAL,15,123.2,246,239,100,203,27,55,52,62,279
60,Aaron Gordon,Serge Ibaka,Elfrid Payton,Nikola Vucevic,C.J. Watson,ORL,11,112.0,234,232,102,207,28,65,37,47,269
61,Nicolas Batum,Frank Kaminsky,Michael Kidd-Gilchrist,Kemba Walker,Marvin Williams,CHO,18,121.9,242,240,98,217,32,87,37,49,265
62,Eric Bledsoe,Devin Booker,Tyson Chandler,Jared Dudley,T.J. Warren,PHO,7,114.7,236,232,91,196,26,61,55,69,263
63,Ryan Anderson,Trevor Ariza,Patrick Beverley,James Harden,Nene Hilario,HOU,22,107.5,230,237,97,183,25,63,44,58,263
64,Patrick Beverley,Corey Brewer,Sam Dekker,Eric Gordon,Nene Hilario,HOU,25,138.2,286,283,96,244,21,82,49,68,262
65,Cole Aldrich,Nemanja Bjelica,Kris Dunn,Zach LaVine,Shabazz Muhammad,MIN,29,133.3,254,251,101,210,25,74,35,49,262
66,Stephen Curry,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,GSW,27,126.5,274,270,98,242,25,83,39,53,260
67,Allen Crabbe,Maurice Harkless,Damian Lillard,C.J. McCollum,Mason Plumlee,POR,23,107.2,222,221,82,183,18,54,73,92,255
68,Steven Adams,Anthony Morrow,Andre Roberson,Domantas Sabonis,Russell Westbrook,OKC,21,118.1,233,229,103,208,19,54,28,38,253
69,Anthony Davis,Buddy Hield,Solomon Hill,Jrue Holiday,Terrence Jones,NOP,15,121.8,248,253,99,239,23,80,32,42,253
70,Jimmy Butler,Taj Gibson,Jerian Grant,Robin Lopez,Dwyane Wade,CHI,13,132.5,258,257,98,251,22,76,33,37,251
71,Omer Asik,Anthony Davis,Tim Frazier,Solomon Hill,E'Twaun Moore,NOP,16,115.6,236,233,98,222,21,51,30,36,247
72,Harrison Barnes,Dorian Finney-Smith,Wesley Matthews,Salah Mejri,Deron Williams,DAL,18,135.5,247,244,86,198,26,67,43,55,241
73,Blake Griffin,DeAndre Jordan,Luc Mbah a Moute,J.J. Redick,Austin Rivers,LAC,13,114.7,226,226,92,210,18,70,36,43,238
74,Arron Afflalo,Darren Collison,DeMarcus Cousins,Kosta Koufos,Garrett Temple,SAC,11,113.4,203,209,86,181,28,70,37,47,237
75,Damian Lillard,C.J. McCollum,Mason Plumlee,Evan Turner,Noah Vonleh,POR,13,117.6,234,236,92,198,27,62,26,34,237
76,Gorgui Dieng,Shabazz Muhammad,Ricky Rubio,Karl-Anthony Towns,Andrew Wiggins,MIN,35,105.3,212,213,89,184,22,61,36,48,236
77,Carmelo Anthony,Brandon Jennings,Courtney Lee,Joakim Noah,Kristaps Porzingis,NYK,14,108.9,219,213,90,196,21,53,34,43,235
78,Steven Adams,Jerami Grant,Victor Oladipo,Andre Roberson,Russell Westbrook,OKC,29,99.3,216,219,79,180,18,63,58,74,234
79,Brandon Bass,Jamal Crawford,Raymond Felton,Austin Rivers,Marreese Speights,LAC,19,101.7,200,188,89,166,24,49,27,38,229
80,Nicolas Batum,Frank Kaminsky,Michael Kidd-Gilchrist,Kemba Walker,Cody Zeller,CHO,18,107.7,202,210,83,202,26,76,36,39,228
81,Tony Allen,Marc Gasol,JaMychal Green,Andrew Harrison,Troy Williams,MEM,12,110.3,214,208,78,184,21,61,45,61,222
82,DeMar DeRozan,Cory Joseph,Lucas Nogueira,Patrick Patterson,Terrence Ross,TOR,22,90.5,193,197,80,180,22,70,39,48,221
83,DeMarre Carroll,DeMar DeRozan,Kyle Lowry,Lucas Nogueira,Jonas Valanciunas,TOR,13,107.8,210,219,79,183,23,53,40,53,221
84,Raymond Felton,DeAndre Jordan,Luc Mbah a Moute,J.J. Redick,Austin Rivers,LAC,13,95.7,187,188,85,177,15,41,31,34,216
85,Kentavious Caldwell-Pope,Andre Drummond,Tobias Harris,Jon Leuer,Ish Smith,DET,30,99.0,199,193,77,178,21,52,39,47,214
86,Eric Bledsoe,Devin Booker,Marquese Chriss,Alex Len,T.J. Warren,PHO,12,84.8,181,183,79,162,18,40,38,46,214
87,Robert Covington,Joel Embiid,Gerald Henderson,Ersan Ilyasova,Sergio Rodriguez,PHI,14,102.4,211,207,81,188,23,64,29,36,214
88,Monta Ellis,Glenn Robinson,Jeff Teague,Myles Turner,Thaddeus Young,IND,8,101.8,210,207,83,196,18,68,28,38,212
89,Matt Barnes,Darren Collison,DeMarcus Cousins,Kosta Koufos,Ben McLemore,SAC,13,90.4,167,165,81,155,28,64,21,26,211
90,Nicolas Batum,Marco Belinelli,Roy Hibbert,Frank Kaminsky,Ramon Sessions,CHO,21,87.5,182,187,80,176,28,60,19,27,207
91,Arron Afflalo,Darren Collison,DeMarcus Cousins,Kosta Koufos,Ben McLemore,SAC,7,88.1,176,175,82,153,22,46,21,33,207
92,Goran Dragic,Wayne Ellington,Rodney McGruder,Josh McRoberts,Hassan Whiteside,MIA,10,95.1,178,177,88,178,11,32,19,27,206
93,Derrick Favors,Rudy Gobert,Gordon Hayward,George Hill,Rodney Hood,UTA,9,104.6,198,199,89,180,16,40,12,18,206
94,LaMarcus Aldridge,Dewayne Dedmon,Danny Green,Kawhi Leonard,Tony Parker,SAS,18,116.8,214,215,80,194,16,51,30,43,206
95,Robert Covington,Joel Embiid,Ersan Ilyasova,T.J. McConnell,Nik Stauskas,PHI,14,114.5,226,223,82,197,17,63,25,29,206
96,LaMarcus Aldridge,Manu Ginobili,David Lee,Kawhi Leonard,Patty Mills,SAS,28,79.0,155,165,78,145,19,35,29,39,204
97,Jamal Crawford,Blake Griffin,DeAndre Jordan,Chris Paul,J.J. Redick,LAC,23,89.0,185,176,70,139,18,40,45,59,203
98,Harrison Barnes,Seth Curry,Yogi Ferrell,Wesley Matthews,Dirk Nowitzki,DAL,9,97.4,194,187,77,168,21,56,27,36,202
99,Darren Collison,DeMarcus Cousins,Rudy Gay,Garrett Temple,Anthony Tolliver,SAC,6,78.6,161,158,77,134,25,53,23,32,202
100,Alex Abrines,Semaj Christon,Jerami Grant,Enes Kanter,Joffrey Lauvergne,OKC,13,81.7,151,155,77,148,16,35,30,35,200
101,Tim Hardaway,Dwight Howard,Paul Millsap,Dennis Schroder,Thabo Sefolosha,ATL,25,98.1,193,196,76,178,22,53,23,33,197
102,Aaron Gordon,Serge Ibaka,Jodie Meeks,Elfrid Payton,Nikola Vucevic,ORL,10,83.2,175,171,75,145,13,38,34,48,197
103,Carmelo Anthony,Willy Hernangomez,Courtney Lee,Kristaps Porzingis,Derrick Rose,NYK,19,79.1,153,161,72,144,20,42,32,45,196
104,Derrick Favors,Rudy Gobert,Gordon Hayward,George Hill,Joe Ingles,UTA,13,114.5,211,214,79,205,17,54,19,28,194
105,Jimmy Butler,Taj Gibson,Robin Lopez,Doug McDermott,Rajon Rondo,CHI,22,90.7,182,177,77,163,18,36,22,30,194
106,Jimmy Butler,Michael Carter-Williams,Taj Gibson,Robin Lopez,Dwyane Wade,CHI,8,96.0,187,182,72,157,15,45,32,39,191
107,Patrick Beverley,Corey Brewer,Clint Capela,Sam Dekker,Eric Gordon,HOU,22,85.4,161,163,70,152,19,45,31,43,190
108,Robert Covington,Ersan Ilyasova,T.J. McConnell,Jahlil Okafor,Nik Stauskas,PHI,16,81.1,164,163,76,152,8,29,28,33,188
109,Jae Crowder,Al Horford,Kelly Olynyk,Marcus Smart,Isaiah Thomas,BOS,19,76.1,154,158,65,134,14,37,43,53,187
110,Lavoy Allen,Paul George,C.J. Miles,Jeff Teague,Myles Turner,IND,12,80.9,162,163,69,141,17,47,29,37,184
111,Carmelo Anthony,Courtney Lee,Kyle O'Quinn,Kristaps Porzingis,Derrick Rose,NYK,16,75.0,148,141,72,133,17,31,21,31,182
112,Patrick Beverley,Corey Brewer,Sam Dekker,Eric Gordon,Montrezl Harrell,HOU,20,91.8,170,170,68,153,15,46,31,37,182
113,Kentavious Caldwell-Pope,Andre Drummond,Jon Leuer,Marcus Morris,Ish Smith,DET,27,96.2,180,180,69,155,14,44,30,43,182
114,Al-Farouq Aminu,Allen Crabbe,Maurice Harkless,C.J. McCollum,Mason Plumlee,POR,6,87.3,176,171,70,158,17,47,23,29,180
115,Avery Bradley,Jae Crowder,Al Horford,Marcus Smart,Isaiah Thomas,BOS,18,63.9,147,140,53,101,17,40,55,65,178
116,Marco Belinelli,Spencer Hawes,Frank Kaminsky,Michael Kidd-Gilchrist,Ramon Sessions,CHO,12,79.1,159,157,66,139,22,60,23,31,177
117,Alexis Ajinca,Anthony Davis,Buddy Hield,Solomon Hill,Jrue Holiday,NOP,7,81.1,162,161,67,145,19,50,21,26,174
118,Allen Crabbe,Maurice Harkless,Damian Lillard,Mason Plumlee,Evan Turner,POR,28,77.4,150,155,64,148,12,40,33,42,173
119,Bismack Biyombo,Evan Fournier,Aaron Gordon,Serge Ibaka,Elfrid Payton,ORL,23,84.5,159,163,66,148,14,47,25,31,171
120,Kent Bazemore,Dwight Howard,Kyle Korver,Mike Muscala,Dennis Schroder,ATL,19,76.8,157,160,68,151,15,38,20,29,171
121,Trevor Ariza,Sam Dekker,Eric Gordon,James Harden,Montrezl Harrell,HOU,26,70.2,150,143,65,147,19,49,21,24,170
122,Harrison Barnes,Seth Curry,Wesley Matthews,Salah Mejri,Deron Williams,DAL,17,96.9,174,177,61,143,13,37,34,46,169
123,Luke Babbitt,Goran Dragic,Dion Waiters,Hassan Whiteside,Justise Winslow,MIA,7,87.2,164,164,68,159,13,29,19,24,168
124,Nicolas Batum,Marco Belinelli,Frank Kaminsky,Kemba Walker,Cody Zeller,CHO,24,70.0,148,139,65,130,19,43,16,22,165
125,Avery Bradley,Amir Johnson,Kelly Olynyk,Marcus Smart,Isaiah Thomas,BOS,9,74.9,154,157,62,142,16,40,23,29,163
126,DeAndre Jordan,Luc Mbah a Moute,Chris Paul,J.J. Redick,Austin Rivers,LAC,6,79.1,161,165,65,147,13,41,19,26,162
127,Will Barton,Wilson Chandler,Danilo Gallinari,Emmanuel Mudiay,Jusuf Nurkic,DEN,12,70.7,145,141,61,138,17,39,23,27,162
128,Bradley Beal,Marcin Gortat,Markieff Morris,Kelly Oubre,John Wall,WAS,30,65.4,135,139,62,131,13,40,25,32,162
129,Steven Adams,Enes Kanter,Victor Oladipo,Andre Roberson,Russell Westbrook,OKC,20,79.6,162,160,58,138,13,43,33,47,162
130,Stephen Curry,Draymond Green,Andre Iguodala,JaVale McGee,Klay Thompson,GSW,28,61.8,130,141,62,127,13,38,24,36,161
131,Jordan Clarkson,Luol Deng,Brandon Ingram,Larry Nance Jr.,Lou Williams,LAL,18,68.8,139,145,59,127,17,44,25,38,160
132,Brandon Ingram,Timofey Mozgov,Julius Randle,D'Angelo Russell,Nick Young,LAL,17,58.5,118,119,61,101,21,37,17,24,160
133,Mike Conley,James Ennis,Marc Gasol,JaMychal Green,Chandler Parsons,MEM,13,81.7,155,152,61,133,12,42,25,34,159
134,Al-Farouq Aminu,Damian Lillard,C.J. McCollum,Mason Plumlee,Evan Turner,POR,20,81.6,164,162,55,146,18,60,30,44,158
135,Will Barton,Kenneth Faried,Danilo Gallinari,Emmanuel Mudiay,Jusuf Nurkic,DEN,9,63.0,126,125,63,117,13,30,19,21,158
136,DeMar DeRozan,Kyle Lowry,Norman Powell,Pascal Siakam,Jonas Valanciunas,TOR,9,69.6,139,142,63,124,16,35,14,23,156
137,Nicolas Batum,Spencer Hawes,Michael Kidd-Gilchrist,Kemba Walker,Marvin Williams,CHO,14,63.6,123,128,57,125,16,39,25,29,155
138,Robert Covington,Ersan Ilyasova,T.J. McConnell,Nerlens Noel,Nik Stauskas,PHI,19,70.1,145,139,58,129,17,30,21,26,154
139,Maurice Harkless,Damian Lillard,C.J. McCollum,Mason Plumlee,Evan Turner,POR,20,54.0,110,107,57,98,11,27,28,39,153
140,Al-Farouq Aminu,Allen Crabbe,Damian Lillard,C.J. McCollum,Mason Plumlee,POR,14,64.4,125,129,59,111,12,30,22,24,152
141,Giannis Antetokounmpo,Malcolm Brogdon,Greg Monroe,Mirza Teletovic,Jason Terry,MIL,20,85.1,162,167,59,144,15,44,19,32,152
142,Giannis Antetokounmpo,Michael Beasley,Malcolm Brogdon,Greg Monroe,Jason Terry,MIL,17,80.7,159,156,56,129,9,41,31,43,152
143,Blake Griffin,DeAndre Jordan,Chris Paul,J.J. Redick,Austin Rivers,LAC,12,71.0,135,137,60,131,13,38,19,30,152
144,D.J. Augustin,Evan Fournier,Aaron Gordon,Serge Ibaka,Nikola Vucevic,ORL,24,75.5,147,152,54,133,13,40,30,40,151
145,Derrick Favors,Rudy Gobert,Gordon Hayward,Rodney Hood,Shelvin Mack,UTA,12,78.1,141,141,55,134,18,38,23,30,151
146,Robert Covington,Gerald Henderson,Ersan Ilyasova,T.J. McConnell,Nerlens Noel,PHI,20,66.7,146,145,53,115,11,31,34,42,151
147,Kentavious Caldwell-Pope,Andre Drummond,Tobias Harris,Reggie Jackson,Jon Leuer,DET,16,78.1,162,161,56,133,12,33,25,34,149
148,Giannis Antetokounmpo,Matthew Dellavedova,Greg Monroe,Jabari Parker,Tony Snell,MIL,24,59.9,124,117,46,95,15,34,42,47,149
149,Arron Afflalo,Darren Collison,DeMarcus Cousins,Rudy Gay,Kosta Koufos,SAC,8,71.0,135,141,60,129,15,36,13,17,148
150,Carmelo Anthony,Brandon Jennings,Courtney Lee,Kristaps Porzingis,Derrick Rose,NYK,14,53.7,113,115,47,93,10,31,43,50,147
151,Jordan Clarkson,Luol Deng,Larry Nance Jr.,Lou Williams,Ivica Zubac,LAL,6,57.1,126,120,57,103,8,31,24,33,146
152,Nicolas Batum,Marco Belinelli,Spencer Hawes,Frank Kaminsky,Ramon Sessions,CHO,17,61.2,123,129,57,123,15,51,17,24,146
153,Nemanja Bjelica,Zach LaVine,Ricky Rubio,Karl-Anthony Towns,Andrew Wiggins,MIN,16,61.8,124,119,49,105,10,37,37,49,145
154,DeMarre Carroll,DeMar DeRozan,Kyle Lowry,Norman Powell,Jonas Valanciunas,TOR,13,61.9,121,121,58,113,15,36,14,19,145
155,Marcin Gortat,Markieff Morris,Otto Porter,Marcus Thornton,John Wall,WAS,13,61.5,124,119,53,111,22,44,15,20,143
156,Bismack Biyombo,Jeff Green,Jodie Meeks,Elfrid Payton,Nikola Vucevic,ORL,7,62.8,118,119,56,117,18,49,13,18,143
157,Robert Covington,Gerald Henderson,Jahlil Okafor,Sergio Rodriguez,Dario Saric,PHI,15,52.8,104,102,56,89,14,27,17,20,143
158,Cristiano Felicio,Jerian Grant,Doug McDermott,Nikola Mirotic,Dwyane Wade,CHI,10,65.9,130,123,53,116,10,35,26,30,142
159,LaMarcus Aldridge,Danny Green,David Lee,Kawhi Leonard,Tony Parker,SAS,19,66.6,129,128,51,116,13,38,26,35,141
160,Will Barton,Wilson Chandler,Gary Harris,Nikola Jokic,Jameer Nelson,DEN,9,62.5,127,128,59,107,9,35,14,19,141
161,Bojan Bogdanovic,Spencer Dinwiddie,Randy Foye,Rondae Hollis-Jefferson,Brook Lopez,BRK,9,65.4,135,139,57,128,12,35,15,20,141
162,Carmelo Anthony,Courtney Lee,Joakim Noah,Derrick Rose,Lance Thomas,NYK,11,71.5,137,137,51,128,13,38,25,34,140
163,Maurice Harkless,Damian Lillard,C.J. McCollum,Mason Plumlee,Noah Vonleh,POR,8,50.1,97,95,53,86,19,29,13,15,138
164,Arron Afflalo,Matt Barnes,DeMarcus Cousins,Rudy Gay,Ty Lawson,SAC,17,56.7,108,111,48,93,13,30,29,36,138
165,Monta Ellis,Paul George,C.J. Miles,Jeff Teague,Myles Turner,IND,21,64.6,134,129,44,94,15,32,34,44,137
166,Trey Burke,Markieff Morris,Kelly Oubre,Tomas Satoransky,Jason Smith,WAS,15,77.3,151,151,48,141,15,51,26,30,137
167,Robert Covington,Joel Embiid,Gerald Henderson,Sergio Rodriguez,Dario Saric,PHI,12,82.7,170,161,54,141,12,41,17,26,137
168,Channing Frye,Kyrie Irving,LeBron James,Iman Shumpert,Tristan Thompson,CLE,12,60.5,116,117,53,109,11,24,20,23,137
169,Robert Covington,Joel Embiid,Gerald Henderson,Jahlil Okafor,Sergio Rodriguez,PHI,7,57.6,110,108,50,99,15,31,20,20,135
170,Allen Crabbe,Meyers Leonard,C.J. McCollum,Evan Turner,Noah Vonleh,POR,16,57.6,121,121,54,114,13,32,14,17,135
171,Avery Bradley,Jae Crowder,Al Horford,Amir Johnson,Marcus Smart,BOS,12,63.3,117,121,52,110,9,35,22,27,135
172,Vince Carter,Mike Conley,James Ennis,Marc Gasol,Zach Randolph,MEM,22,52.5,107,105,42,87,11,28,39,45,134
173,Matt Barnes,Willie Cauley-Stein,Ty Lawson,Malachi Richardson,Anthony Tolliver,SAC,11,66.0,133,134,52,113,16,50,14,25,134
174,D.J. Augustin,Bismack Biyombo,Aaron Gordon,Serge Ibaka,Jodie Meeks,ORL,6,60.7,112,114,54,102,11,26,15,15,134
175,Boris Diaw,Rudy Gobert,Gordon Hayward,George Hill,Joe Ingles,UTA,17,63.7,119,123,50,104,15,31,19,22,134
176,Robert Covington,Gerald Henderson,Ersan Ilyasova,Jahlil Okafor,Sergio Rodriguez,PHI,18,61.5,122,120,52,104,15,27,14,18,133
177,Tarik Black,Brandon Ingram,Julius Randle,D'Angelo Russell,Nick Young,LAL,10,60.5,119,117,48,98,9,27,28,39,133
178,Giannis Antetokounmpo,Malcolm Brogdon,Greg Monroe,Jabari Parker,Tony Snell,MIL,26,64.4,126,128,47,104,9,35,30,38,133
179,Boris Diaw,Rudy Gobert,Gordon Hayward,Joe Ingles,Shelvin Mack,UTA,13,59.8,111,110,54,103,14,30,11,15,133
180,Bradley Beal,Marcin Gortat,Otto Porter,Jason Smith,John Wall,WAS,16,49.4,95,100,45,88,11,32,31,34,132
181,Goran Dragic,Wayne Ellington,James Johnson,Tyler Johnson,Willie Reed,MIA,14,56.1,118,121,48,102,10,30,25,27,131
182,Avery Bradley,Jae Crowder,Al Horford,Kelly Olynyk,Isaiah Thomas,BOS,14,59.2,123,121,51,115,13,39,16,23,131
183,Nicolas Batum,Marco Belinelli,Kemba Walker,Marvin Williams,Cody Zeller,CHO,21,62.1,127,121,49,92,8,25,25,33,131
184,Channing Frye,Kyrie Irving,LeBron James,Richard Jefferson,Iman Shumpert,CLE,12,51.6,102,100,48,89,16,34,19,25,131
185,Goran Dragic,James Johnson,Tyler Johnson,Dion Waiters,Hassan Whiteside,MIA,16,54.7,119,112,46,101,19,39,20,25,131
186,Harrison Barnes,Dorian Finney-Smith,Wesley Matthews,Dirk Nowitzki,Deron Williams,DAL,6,48.0,99,99,51,97,13,28,15,17,130
187,Boris Diaw,Dante Exum,Rudy Gobert,Gordon Hayward,Rodney Hood,UTA,8,85.1,151,151,51,147,6,32,22,25,130
188,Michael Beasley,Malcolm Brogdon,Greg Monroe,Jabari Parker,Tony Snell,MIL,21,51.2,104,105,48,92,16,35,18,19,130
