,Player1,Player2,Player3,Player4,Player5,Team,GP,MP,POSS,DPOSS,DFGM,DFGA,D3PM,D3PA,DFTM,DFTA,DPTS
6624,Kent Bazemore,DeAndre' Bembry,Malcolm Delaney,Paul Millsap,Thabo Sefolosha,ATL,1,1.3,2,2,1,3,0,0,1,1,3
6625,Wade Baldwin,Marc Gasol,Andrew Harrison,Zach Randolph,Troy Williams,MEM,1,2.0,4,5,1,6,0,2,1,1,3
6626,Justin Anderson,Harrison Barnes,Yogi Ferrell,Wesley Matthews,Salah Mejri,DAL,1,0.9,2,3,1,2,0,0,1,2,3
6627,Tyreke Evans,Langston Galloway,Buddy Hield,Terrence Jones,Donatas Motiejunas,NOP,1,1.1,2,2,1,2,1,1,0,0,3
6628,DeMarre Carroll,DeMar DeRozan,Kyle Lowry,Lucas Nogueira,Jakob Poeltl,TOR,2,1.5,3,2,1,1,0,0,1,2,3
6629,LaMarcus Aldridge,David Lee,Kawhi Leonard,Patty Mills,Tony Parker,SAS,4,1.9,3,3,1,3,0,0,1,1,3
6630,Jaylen Brown,Jonas Jerebko,Jordan Mickey,Terry Rozier,Marcus Smart,BOS,2,2.1,5,5,0,3,0,2,3,3,3
6631,Dorian Finney-Smith,A.J. Hammons,Devin Harris,Dwight Powell,Deron Williams,DAL,1,1.7,4,4,1,2,0,1,1,2,3
6632,Darrell Arthur,Kenneth Faried,Danilo Gallinari,Gary Harris,Jamal Murray,DEN,1,1.5,2,3,1,4,0,0,1,1,3
6633,LeBron James,Richard Jefferson,Kevin Love,Iman Shumpert,J.R. Smith,CLE,1,3.0,7,7,1,5,0,2,1,3,3
6634,Kent Bazemore,DeAndre' Bembry,Malcolm Delaney,Mike Dunleavy,Dwight Howard,ATL,1,2.3,4,4,0,2,0,0,3,3,3
6635,Derrick Favors,George Hill,Joe Johnson,Trey Lyles,Shelvin Mack,UTA,1,1.5,2,3,1,2,0,0,1,1,3
6636,Jamal Crawford,Raymond Felton,Chris Paul,Austin Rivers,Marreese Speights,LAC,4,1.5,4,3,1,2,0,0,1,1,3
6637,J.J. Barea,Harrison Barnes,Nicolas Brussino,Seth Curry,Salah Mejri,DAL,2,0.6,1,1,1,1,1,1,0,0,3
