,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FTM,FTA,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,3PM,3PA,DFGA,DFG%
41,Bismack Biyombo,57,1327,13.1,17.8,0.7,6.2,9,25.5,0.707,136,86,174,94,140,24,74,9,22,1,8,0,0,274,58.4
42,Nemanja Bjelica,55,947,16.5,14.2,1.8,9.4,4.5,17.9,0.179,124,37,50,41,67,24,49,3,8,4,9,46,148,147,55.1
43,Tarik Black,46,749,16.4,14.3,1.2,6.5,14.7,21.7,0.407,128,61,85,87,139,16,57,3,7,0,4,1,2,147,56.5
44,Eric Bledsoe,56,1861,28.2,14.7,2,31.5,2.9,14,0.442,146,334,393,154,252,61,127,37,92,53,154,88,265,174,64.9
45,Bojan Bogdanovic,55,1482,22.4,11.8,0.8,10.1,1.7,12.3,0.273,99,146,167,119,195,23,56,13,45,15,38,99,277,120,66.7
46,Andrew Bogut,26,582,10.5,33.4,1.2,12.3,10.5,34.3,0.136,84,3,11,21,37,16,38,1,5,0,1,0,1,95,52.6
47,Devin Booker,56,1933,27.9,12.7,1.2,15.6,1.9,7.2,0.286,178,235,284,126,212,51,126,50,149,90,219,105,286,138,57.2
48,Trevor Booker,51,1335,17.8,17,2.3,13.6,8.6,25.7,0.213,111,60,90,127,193,65,124,8,20,8,29,15,56,165,58.8
49,Avery Bradley,36,1257,22.5,10.3,1.9,11.3,3.6,18.6,0.117,98,48,63,89,140,16,45,24,42,51,126,76,186,98,68.4
50,Corey Brewer,58,923,13.1,12.7,2,9,2.5,11.2,0.194,104,32,44,52,87,15,38,2,5,3,3,22,94,78,64.1
51,Malcolm Brogdon,55,1406,18.1,15.2,2.3,23.9,2.7,9.3,0.215,101,80,94,94,172,19,58,14,42,12,39,53,127,115,72.2
52,Aaron Brooks,46,660,19.6,17.3,1.7,22.5,2.4,6.4,0.128,65,23,29,17,40,15,34,17,27,9,24,34,101,43,76.7
53,Anthony Brown,11,159,15.6,10.7,1.5,7.7,5.3,16.9,0,15,0,0,4,7,2,5,1,3,4,8,7,27,15,73.3
54,Jaylen Brown,53,821,18,11.2,1.3,6.1,3.8,14.8,0.337,91,62,86,65,109,14,39,5,19,3,15,21,69,63,54
55,Nicolas Brussino,36,246,14.1,15.1,2.1,15.4,4.5,16.5,0.155,21,6,9,3,4,2,2,1,2,5,11,12,39,23,56.5
56,Reggie Bullock,14,217,15,8.2,1.4,8,3,11.5,0.062,15,2,4,13,16,1,5,2,5,2,7,10,32,17,64.7
57,Trey Burke,51,643,19.6,14.7,0.8,21,1.3,6.6,0.107,49,18,25,18,35,9,20,23,44,30,73,25,60,43,69.8
58,Alec Burks,21,319,22.7,11.7,2,6.9,1.9,11.9,0.376,29,30,44,15,33,8,14,9,12,4,13,12,37,22,68.2
59,Jimmy Butler,51,1867,27.2,9.3,2.5,23.1,4.8,14,0.582,87,426,491,133,222,50,100,59,136,73,195,59,175,138,67.4
60,Jose Calderon,24,292,15.3,24.8,1.2,25.2,2.9,12.7,0.052,22,4,4,6,8,0,3,4,12,10,20,12,34,26,92.3
61,Kentavious Caldwell-Pope,52,1759,19.3,8.5,1.9,12.4,2.5,8.6,0.197,88,105,126,63,100,14,52,23,68,54,130,108,290,89,73
62,Isaiah Canaan,33,572,15,9.7,1.9,9,1.1,7.9,0.189,35,28,31,13,24,14,22,3,10,7,20,24,88,31,71
63,Clint Capela,43,1000,19.6,11.6,1,6.3,11.2,24.4,0.321,113,57,114,193,263,30,82,1,3,,,0,0,270,55.9
64,DeMarre Carroll,52,1418,15.8,7.7,2.2,5.3,3.7,13.1,0.204,102,67,87,43,70,24,59,9,21,14,33,86,244,145,55.9
65,Vince Carter,50,1202,15.4,6.8,1.7,11.7,2.3,13.2,0.25,114,62,86,33,66,14,31,2,16,10,28,74,203,81,56.8
66,Michael Carter-Williams,26,579,20.7,15.9,1.8,18.3,3.3,19.8,0.286,67,45,59,27,41,28,66,10,35,6,17,9,43,53,50.9
67,Omri Casspi,22,397,16.3,11.9,1.3,10.3,5.9,20.6,0.179,23,12,21,32,53,10,32,0,2,0,1,11,29,38,65.8
68,Willie Cauley-Stein,50,649,19.5,10.4,2,6.9,8.4,16,0.283,89,38,63,82,115,33,71,4,20,6,15,0,2,111,57.7
69,Tyson Chandler,47,1298,11.4,19.2,1.2,3.3,12.8,33.7,0.544,126,91,124,145,204,8,22,0,1,0,1,0,0,219,61.6
70,Wilson Chandler,50,1544,22.3,10.5,1.4,10.6,5.6,18.7,0.206,120,101,138,118,173,58,140,23,65,32,75,73,216,153,52.9
71,Marquese Chriss,57,1070,19.7,12.2,2,5.1,6.5,14.4,0.261,174,65,103,89,157,17,51,7,18,11,30,41,138,116,69
72,Semaj Christon,40,590,14.1,14.3,1.2,21.5,2.6,8,0.146,50,11,23,24,45,7,24,9,28,6,20,8,42,53,71.7
73,Ian Clark,51,727,18.9,10.4,1.8,12.1,2,8.6,0.149,51,30,40,38,60,15,34,16,35,15,28,44,111,40,75
74,Jordan Clarkson,58,1587,23.1,12.7,2.2,12.6,2.6,9.1,0.157,110,86,110,109,175,61,143,34,78,40,88,72,217,108,68.5
75,Darren Collison,49,1516,19.7,12.4,1.7,22.4,1.5,6.5,0.223,92,101,118,80,126,34,81,20,43,59,133,61,145,61,73.8
76,Mike Conley,46,1503,26.1,12.1,2.1,34.6,1.8,10.7,0.35,78,199,231,78,130,37,87,25,62,42,115,109,266,122,71.3
77,Pat Connaughton,27,195,11,12.3,1,10.8,5,12.7,0.231,13,7,9,10,16,1,3,0,1,0,2,7,16,17,41.2
78,DeMarcus Cousins,55,1891,37.5,13.2,2,27.9,7.1,29.1,0.491,203,423,549,224,365,104,255,18,65,64,164,95,268,281,53.4
79,Robert Covington,50,1554,18.7,14.4,3,8,5.1,16.8,0.222,149,91,115,80,139,12,49,3,9,3,13,98,300,135,59.3
80,Allen Crabbe,56,1594,14.9,9,1,6.5,1,9.8,0.213,124,83,96,43,66,16,45,11,31,48,105,86,200,89,70.8
81,Jamal Crawford,56,1504,23.2,13,1.4,16.6,1,5.9,0.214,79,112,133,34,58,28,77,32,77,80,186,78,227,82,64.6
82,Jae Crowder,47,1527,16.6,8.3,1.6,9.9,2.2,15.9,0.254,108,103,119,71,88,7,22,5,16,28,77,106,262,103,65
83,Dante Cunningham,42,1056,11,7.2,1,3.9,3.5,14.2,0.059,69,8,14,35,61,9,23,2,6,10,26,47,121,136,64
84,Seth Curry,52,1468,18.9,10.9,2.2,16.3,1.7,9.3,0.121,98,48,60,42,67,34,60,19,41,38,94,94,226,76,73.7
85,Stephen Curry,55,1838,29,12.7,2.4,29.1,2.1,11.4,0.256,120,228,249,,,,,,,,,220,537,90,70
86,Troy Daniels,43,742,22.1,7.2,1,6.5,1.9,6.9,0.139,59,36,44,6,18,4,10,5,14,21,53,87,222,64,64.1
87,Anthony Davis,53,1927,32.5,9.9,1.7,11.7,6.5,28.3,0.428,125,367,458,192,281,122,248,95,204,104,252,26,85,285,55.4
88,Deyonta Davis,25,183,13.2,14.9,0.3,1.7,10.3,21.7,0.385,31,8,15,16,26,3,5,0,1,1,7,0,0,32,40.6
89,Ed Davis,45,776,11.8,17.3,1,4.9,13.1,20.8,0.54,134,47,75,58,100,15,38,1,1,,,0,0,120,55.8
