,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FTM,FTA,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,3PM,3PA,DFGA,DFG%
182,Joe Ingles,57,1253,13.7,17.5,2.8,16.3,1,13.2,0.168,110,38,47,38,48,8,21,0,8,8,25,76,173,74,63.5
183,Brandon Ingram,58,1604,15.6,12.6,0.8,10,2.7,13.7,0.331,109,97,148,59,109,18,70,22,63,22,70,41,135,131,71
184,Kyrie Irving,49,1724,30.2,11.1,1.8,29.7,2.4,7.3,0.221,106,192,212,153,250,30,107,70,151,66,137,118,303,129,71.3
185,Reggie Jackson,36,1023,26.6,14,1.4,31.3,1.6,7.2,0.224,96,91,107,,,,,,,,,49,135,67,56.7
186,LeBron James,52,1952,29.5,16.9,1.9,41.6,3.6,18.7,0.385,90,248,360,286,368,40,110,48,108,31,99,91,234,171,64.9
187,Al Jefferson,57,832,26,5.8,1,11.2,9.2,23.4,0.188,110,61,79,79,122,86,160,27,83,15,45,0,1,110,61.8
188,Richard Jefferson,54,1052,12.2,11.7,0.7,6.6,2.3,10.8,0.319,100,53,72,49,62,5,21,3,7,2,14,35,121,95,61.1
189,Brandon Jennings,56,1402,17.8,18.1,1.9,28.2,1.5,9.7,0.312,78,98,130,50,94,11,41,16,36,17,49,67,196,85,74.1
190,Jonas Jerebko,56,930,11.6,14.1,1.3,7.2,5.3,17.8,0.106,95,17,21,31,44,13,32,2,8,8,14,34,98,118,63.6
191,Amir Johnson,56,1104,13.7,14.4,1.4,12.9,9.1,16.9,0.265,146,46,69,93,130,31,73,0,1,0,2,18,44,225,54.2
192,James Johnson,52,1381,21.5,17.5,1.7,19.8,3.6,16.9,0.281,137,98,138,112,182,30,68,21,35,16,35,60,170,168,52.4
193,Joe Johnson,56,1260,18.1,10.1,0.8,12.4,2.2,12.9,0.123,62,41,51,22,29,46,96,20,53,24,65,70,170,62,64.5
194,Stanley Johnson,53,887,14.2,16.3,1.9,10.8,2.9,12.3,0.183,84,26,40,18,29,11,39,18,33,12,31,26,86,49,51
195,Tyler Johnson,49,1506,20.6,7.4,2,16.4,2.5,12.8,0.309,122,134,176,82,141,35,81,15,50,50,125,60,172,161,55.9
196,Wesley Johnson,49,646,12.7,8.1,2.1,4.5,4.2,21.8,0.105,71,11,17,15,26,4,6,3,6,13,31,26,92,92,57.6
197,Nikola Jokic,49,1319,23.1,14.1,1.4,26.9,12.8,24.3,0.274,150,124,152,134,203,95,156,33,56,28,56,31,85,288,63.2
198,James Jones,35,239,13.2,9.7,0.6,4.2,0.9,9,0.237,22,9,14,2,3,0,1,1,1,3,10,25,44,35,51.4
199,Terrence Jones,51,1264,21.4,7.9,1.5,7.5,5.4,20,0.348,67,103,170,132,195,55,149,10,27,15,41,19,75,211,63
200,Tyus Jones,35,398,14,16.7,2.9,27.5,2,7.4,0.28,28,21,26,8,18,6,13,5,9,3,10,16,43,23,87
201,DeAndre Jordan,56,1751,15.1,14.6,0.9,5.6,12.8,35.2,0.739,148,142,283,244,332,22,50,0,1,,,0,1,299,54.2
202,Cory Joseph,55,1243,18.4,11.1,1.6,18.1,2.8,10.5,0.218,92,72,91,71,117,35,87,15,49,36,94,28,71,106,69.8
203,Frank Kaminsky,54,1351,21.4,8.3,1.5,13.4,3.5,16.2,0.187,92,77,103,71,126,53,125,11,37,7,22,72,234,192,63.5
204,Enes Kanter,47,1015,26.3,12.1,1,8.6,13.3,20.9,0.382,103,142,180,178,268,52,93,12,38,18,41,5,31,233,54.9
205,Michael Kidd-Gilchrist,55,1634,14.5,7.9,1.4,7,7.3,19.9,0.317,126,104,136,127,215,10,52,15,39,39,105,1,8,187,54.5
206,Sean Kilpatrick,55,1429,23.9,15.2,1.3,14.7,1.3,15,0.31,104,155,185,94,165,31,88,13,41,23,55,87,248,101,74.3
207,Brandon Knight,54,1140,25.2,12.9,1.1,18.1,2.2,9.6,0.293,87,132,154,72,129,27,83,24,62,41,111,45,139,82,73.2
208,Kyle Korver,51,1377,14.8,12.5,1.1,9.8,0.6,11.2,0.09,79,31,35,11,17,3,8,7,21,44,85,117,260,132,63.6
209,Kosta Koufos,57,1091,14.3,14.2,1.5,5.3,9.6,23.2,0.187,132,28,51,89,126,64,131,6,15,0,1,0,1,168,62.5
210,Mindaugas Kuzminskas,47,686,19,11.2,1.8,10,5,8.9,0.172,55,34,43,54,89,12,33,1,4,0,4,38,120,66,63.6
211,Jeremy Lamb,36,617,24.4,6.5,1,11.2,3.2,24.3,0.297,54,67,83,41,61,17,40,22,42,19,46,22,85,58,72.4
212,Nicolas Laprovittola,18,174,18.2,27.2,1.2,22.8,0.7,5.7,0.191,19,9,9,7,13,1,4,1,1,1,2,10,27,17,82.4
213,Joffrey Lauvergne,50,739,17.8,12.6,1.1,10.5,7.7,19.7,0.238,71,37,58,54,88,18,47,5,8,5,17,27,78,90,61.1
214,Zach LaVine,47,1749,21.7,9.9,1.2,12.9,1.2,9.6,0.197,104,117,140,123,193,18,43,12,35,53,129,120,310,82,73.2
215,Ty Lawson,51,1253,18.9,17.6,2.3,28.5,3.1,9.4,0.35,75,106,131,67,107,20,55,23,43,26,75,27,93,66,60.6
216,Jake Layman,24,149,19.6,7.5,2,6.8,1.5,9,0.232,14,9,13,4,5,2,5,1,1,2,7,9,38,17,64.7
217,Courtney Lee,52,1630,13.5,7.6,1.4,9.4,2.6,8.5,0.11,96,42,50,40,66,22,55,31,63,37,87,77,184,123,69.1
218,David Lee,55,1023,17,14.5,1.1,13.5,11.2,22.5,0.287,89,59,84,121,172,32,73,14,25,8,23,0,0,159,52.8
219,Alex Len,54,1061,17.4,16.4,0.9,4.3,10.4,26.1,0.436,165,98,134,103,161,30,77,8,26,12,39,1,4,229,50.2
220,Kawhi Leonard,51,1710,31,9,2.7,17.6,4.1,15.5,0.418,78,338,376,106,164,61,120,75,162,94,195,103,260,133,61.7
221,Meyers Leonard,48,784,16.7,8.7,0.4,7.8,2.6,19.3,0.108,110,25,28,18,27,9,24,4,20,12,39,51,150,140,51.4
222,Jon Leuer,51,1379,17,8.7,0.8,9.6,5.4,18.2,0.192,106,77,85,91,112,28,64,43,77,25,67,40,123,181,59.1
223,Caris LeVert,32,642,16.2,14.4,2.2,14.1,1.8,12.8,0.262,47,36,49,31,45,4,20,10,16,3,7,30,99,47,70.2
224,DeAndre Liggins,45,645,10.9,19.3,3,9.3,2.1,10.3,0.267,65,21,31,25,47,1,10,0,4,3,11,17,44,57,66.7
225,Damian Lillard,51,1832,30.6,10.3,1,28,2.1,13.2,0.369,115,328,364,153,255,42,124,31,80,66,144,129,372,129,66.7
226,Jeremy Lin,12,300,25.6,17.8,2.5,40.2,0.7,12.9,0.315,12,29,41,21,36,9,18,7,13,8,15,16,48,29,48.3
227,Shaun Livingston,51,884,13.2,15.2,1.3,12.9,2.5,9.3,0.189,81,24,40,33,43,21,28,59,115,7,25,0,1,68,69.1
228,Kevon Looney,43,401,12.5,11.2,1.5,8,10.6,18.9,0.36,62,21,32,47,63,2,10,0,2,0,6,2,8,58,56.9
229,Brook Lopez,51,1509,29.3,11.7,0.9,16,5.7,12.7,0.325,131,217,260,122,184,124,252,33,80,7,22,90,262,249,56.6
230,Robin Lopez,57,1594,16.6,9.7,0.3,5.4,13.1,13.7,0.143,107,50,74,84,162,85,171,19,44,60,127,0,1,410,52.7
231,Kevin Love,46,1466,26.6,11,1.4,9.6,8.9,28.9,0.366,82,218,249,76,136,40,100,33,70,19,54,119,310,231,63.6
232,Kyle Lowry,56,2111,24.8,13.4,1.9,29.1,2.5,11.9,0.395,163,284,344,108,162,61,150,24,50,25,64,185,444,143,75.5
233,Timothe Luwawu-Cabarrot,43,493,16.8,17.9,1,9.8,2.2,11.2,0.417,68,42,55,34,61,3,19,0,1,0,3,14,45,43,53.5
234,Trey Lyles,57,1043,22,11.9,1.3,10.3,5,18,0.178,82,51,71,41,69,26,70,10,33,13,38,61,189,152,57.2
235,Shelvin Mack,46,983,19.8,19.6,1.9,21.5,1.9,9.7,0.172,79,35,53,44,74,25,56,23,47,13,32,31,98,71,59.2
236,Thon Maker,30,218,19.2,8.6,1.4,2.8,8.1,18,0.338,35,15,25,16,23,1,8,0,4,4,7,16,32,39,61.5
237,Boban Marjanovic,23,159,24.4,8.1,0.6,5.1,20.5,32.1,0.397,11,21,27,15,23,15,37,2,8,,,0,0,31,48.4
238,Jarell Martin,40,538,16.1,14.1,1.4,2,7.6,25.6,0.333,90,38,48,31,73,3,14,3,6,8,25,9,26,64,65.6
239,Wesley Matthews,53,1874,20.5,8.5,1.6,11.7,0.7,11.8,0.212,118,117,144,48,82,18,55,34,75,27,82,144,378,87,75.9
240,Luc Mbah a Moute,54,1216,11.7,10.6,2.3,2.5,3.6,8.2,0.248,90,46,64,71,115,2,14,1,3,21,46,31,80,117,64.1
241,James Michael McAdoo,29,265,13.6,14.3,1.3,5.4,6.3,12,0.246,26,8,16,27,37,5,12,3,5,2,8,0,3,60,58.3
242,Patrick McCaw,46,571,12.6,13.2,1.3,9.6,1.9,6.6,0.131,39,11,18,16,24,6,12,3,10,4,11,28,80,49,65.3
243,Sheldon McClellan,25,248,13.5,3.9,1.6,8,1.9,11.6,0.328,16,18,21,6,13,3,6,6,9,3,10,6,26,21,57.1
244,C.J. McCollum,56,1934,28.1,10.4,1.5,18.6,2.6,9.3,0.207,159,189,211,94,163,70,137,73,140,109,229,138,336,135,51.1
245,T.J. McConnell,55,1369,14.1,22.5,2.9,37.6,1.8,11.5,0.152,94,38,49,71,112,35,79,21,59,12,31,7,33,78,69.2
246,K.J. McDaniels,29,212,16.6,12.1,1.4,2.7,3.1,12.5,0.147,24,9,10,16,25,5,12,1,3,0,1,9,27,18,72.2
247,Doug McDermott,44,1078,17.5,7.4,0.5,6.6,1.4,11.8,0.18,57,59,67,44,74,20,45,16,39,27,60,56,149,95,57.9
248,JaVale McGee,51,487,23.8,11.5,1.2,4,13.1,20.8,0.327,75,32,68,,,,,,,,,0,3,110,57.3
249,Rodney McGruder,53,1390,12,9.6,1.4,8.2,5.6,8.8,0.165,99,34,52,45,67,17,54,5,20,7,24,50,149,108,73.1
250,Ben McLemore,42,754,18.2,11.9,1.5,7.3,2,7.9,0.16,58,31,40,33,47,6,23,4,19,20,53,40,108,46,56.5
251,Jordan McRae,36,381,20.5,7.9,1,7.4,1.8,9.6,0.228,30,27,34,18,39,6,17,2,18,13,20,17,50,41,63.4
252,Josh McRoberts,22,381,16.9,15.9,1.3,19.1,6.6,14.8,0.076,31,6,9,20,34,1,17,3,17,7,18,13,31,53,66
253,Jodie Meeks,24,520,18,11.4,2.7,10.9,0.6,11,0.25,29,38,42,13,26,6,13,6,18,9,22,36,89,39,71.8
254,Salah Mejri,50,667,9.4,22.7,2,2.3,11.9,29.2,0.391,111,22,34,45,60,6,7,4,5,1,9,0,2,160,52.5
255,Jordan Mickey,16,116,15.6,17.3,0.9,6.3,11.6,15.5,0.345,9,6,10,11,19,1,5,2,4,0,1,0,1,22,72.7
256,C.J. Miles,51,1177,18.6,5.7,1.3,3.8,1.6,12.5,0.148,106,56,64,28,47,16,36,8,19,22,59,111,266,66,62.1
257,Patty Mills,55,1170,20.2,13.6,2,23.6,1.8,7.7,0.131,77,48,56,41,68,4,13,7,16,42,104,99,229,64,73.4
258,Paul Millsap,53,1810,24.2,11.5,2.1,18,5.6,19.6,0.384,141,222,291,116,191,62,159,65,139,25,72,64,196,294,59.2
259,Nikola Mirotic,48,1078,19.4,11,1.6,6,3.5,21.6,0.212,84,64,83,49,81,13,26,9,24,8,26,70,234,144,59
260,Greg Monroe,54,1178,23.9,13.6,2.9,16.2,10.5,24.7,0.361,102,122,168,167,269,56,138,13,24,15,32,0,2,206,61.7
261,E'Twaun Moore,51,1259,18,9.6,1.4,14,2.2,7.2,0.102,98,34,45,49,79,48,94,22,65,26,56,58,150,124,63.7
262,Marcus Morris,56,1849,20,7.4,1.2,9.7,3,13,0.175,111,100,125,53,82,21,62,54,130,88,179,87,261,122,56.6
263,Markieff Morris,53,1700,21.4,12.1,1.8,8.3,5.3,18.5,0.268,174,142,174,107,171,52,122,43,107,35,95,54,147,214,56.1
264,Anthony Morrow,40,627,16.3,2.9,1.6,4.5,1.9,3.2,0.117,40,23,26,8,14,20,34,9,30,12,23,35,119,49,69.4
265,Donatas Motiejunas,20,318,15.9,20.2,1.8,12.9,5.6,17.4,0.372,42,15,29,12,14,14,31,2,5,8,28,8,28,48,56.3
266,Timofey Mozgov,53,1089,16.8,16.3,0.7,5.9,9.9,16.3,0.234,129,61,76,94,143,30,85,18,41,24,55,0,1,204,60.3
267,Emmanuel Mudiay,44,1237,22.4,16.6,1.5,21.5,2.3,11.8,0.293,83,110,142,86,171,14,57,15,54,15,45,49,159,100,80
268,Shabazz Muhammad,53,1040,20.1,7.4,0.7,3.8,5.8,11.3,0.319,61,96,122,81,126,40,94,13,45,5,19,41,99,54,57.4
269,Dejounte Murray,31,243,25.8,22.3,1,19.8,2.4,11.8,0.258,21,18,25,16,27,16,38,2,8,1,5,8,19,20,70
270,Jamal Murray,56,1116,21.1,13.1,1.2,12.9,3.3,10.9,0.18,77,71,81,58,98,19,44,12,38,16,53,72,218,78,74.4
271,Mike Muscala,50,984,15.2,12.9,1.2,10.4,6.9,13.6,0.198,80,42,54,55,79,10,25,18,38,21,46,36,85,160,53.8
272,Larry Nance Jr.,39,869,13.1,13.2,2.6,10.2,8.2,19,0.224,94,34,47,70,93,20,41,7,21,19,43,2,13,139,71.2
273,Shabazz Napier,32,246,22.6,16.5,3.4,17.9,0.9,9.6,0.263,18,18,25,8,17,2,6,1,2,7,14,19,56,11,72.7
274,Maurice Ndour,20,144,14.7,10.1,2.8,1,6.7,14.1,0.25,16,9,10,13,17,0,7,1,5,3,6,1,5,17,70.6
275,Jameer Nelson,56,1473,16.5,17.4,1.2,26.8,1.6,8.6,0.099,150,33,45,54,97,20,41,8,26,43,94,76,198,79,69.6
276,Raul Neto,29,213,15.8,15.3,3,14.9,0.6,10,0.068,27,4,4,15,22,5,9,0,1,1,6,6,21,19,57.9
277,Andrew Nicholson,28,231,17.8,11.8,2.4,4.2,5.5,11.1,0.156,37,7,12,12,18,10,28,4,12,1,3,3,16,42,61.9
278,Joakim Noah,46,1015,12.4,19.8,1.5,13.9,16.8,25.4,0.39,127,34,78,95,178,4,18,0,3,0,1,0,1,191,62.8
279,Nerlens Noel,29,564,17.9,12.5,3.6,9.2,9,19.2,0.36,71,43,63,76,107,14,28,3,13,10,21,0,1,132,50.8
280,Lucas Nogueira,48,1037,9.6,19.2,2.3,5.2,8.6,16.6,0.444,132,44,67,92,120,6,15,0,2,2,5,3,9,220,55.9
281,Dirk Nowitzki,30,780,26.1,6.3,1.4,11.1,2,26.2,0.185,59,60,69,15,28,9,21,33,75,44,114,46,119,115,55.7
282,Jusuf Nurkic,46,828,22.5,19.5,1.7,10.9,12.1,23.9,0.386,91,59,117,113,193,36,86,2,5,5,18,0,0,185,57.8
283,Kyle O'Quinn,55,840,18.8,14.4,1.4,12.6,14,25,0.178,118,39,52,94,143,13,28,13,34,35,78,1,9,210,47.6
284,Jahlil Okafor,38,874,22.9,11.8,0.8,8.2,7.8,15.2,0.344,89,74,121,96,134,55,135,21,58,5,18,0,0,189,58.2
285,Victor Oladipo,48,1616,21,9.5,1.8,12,1.9,12.5,0.167,111,83,112,106,175,19,61,37,74,39,90,92,260,149,69.1
286,Kelly Olynyk,50,1077,18.6,14.1,1.5,14.5,4.7,20.4,0.236,132,58,82,91,119,16,37,4,17,8,22,55,145,177,58.8
287,Kelly Oubre,53,1095,14.2,9.4,1.8,4.1,4.1,14.2,0.22,133,48,64,53,81,8,29,7,20,12,24,40,135,98,68.4
288,Zaza Pachulia,44,826,14.4,20.2,2.4,13.5,13.5,21.2,0.484,104,68,88,74,125,13,28,4,12,5,17,0,0,179,65.9
289,Jabari Parker,51,1728,26.1,9.2,1.5,13.9,5.4,15.2,0.268,111,162,218,228,339,43,119,16,56,47,122,65,178,145,59.3
290,Tony Parker,43,1121,20,11.5,0.9,28.5,0.9,7,0.188,67,59,76,65,111,42,101,19,48,49,100,16,45,69,66.7
291,Chandler Parsons,27,523,18.3,7.6,1.7,13.5,0.6,13.8,0.194,36,30,35,32,53,0,7,8,25,3,21,20,74,23,65.2
292,Patrick Patterson,40,1090,12.4,9.2,1.4,7.2,4.8,17.7,0.16,84,27,41,16,34,10,24,8,19,3,9,62,171,117,57.3
293,Chris Paul,36,1112,24.1,14.3,3.6,50,2.7,16,0.363,88,141,161,21,34,18,33,45,93,55,107,70,177,77,68.8
294,Cameron Payne,20,320,19.8,11.4,1.5,18.5,0.7,10,0.031,38,4,4,5,18,7,18,7,19,5,16,16,52,29,72.4
295,Elfrid Payton,58,1690,21.9,14.3,1.9,31.8,2.9,11.6,0.209,126,91,137,156,259,51,129,24,54,27,75,34,127,131,69.5
296,Paul Pierce,13,153,15.5,15,1,1.8,0,12.7,0.244,25,8,10,1,3,1,1,1,5,2,5,10,27,10,60
297,Mason Plumlee,55,1550,18.1,14,1.6,21.4,8.5,23.2,0.511,151,130,230,179,270,32,85,14,37,11,47,0,6,298,53
298,Miles Plumlee,37,377,14.2,20.9,1.6,7.4,8.3,13.2,0.443,57,22,35,25,45,10,27,1,5,,,0,0,75,57.3
299,Jakob Poeltl,32,345,10.9,16.6,1.6,3.6,13.3,15.9,0.483,64,16,28,22,44,6,11,1,2,0,1,0,0,71,59.2
300,Otto Porter,55,1862,15.5,6,2.2,6.7,4.4,17.7,0.153,138,70,88,84,116,26,50,27,49,50,104,118,254,185,66.5
301,Bobby Portis,39,472,17.6,11.5,0.8,6.7,9.5,20.5,0.206,48,21,32,28,44,14,24,5,18,7,24,13,36,75,66.7
302,Kristaps Porzingis,49,1620,24,9.8,1.1,6.4,5.4,17.5,0.26,189,149,190,108,155,37,114,63,137,27,84,93,242,325,48.6
303,Dwight Powell,56,1025,15.7,5.9,2.8,6.9,8.5,19.7,0.376,104,79,103,104,142,12,31,5,13,21,61,6,25,173,69.4
304,Norman Powell,53,919,19.3,10.8,2.1,9,2.1,10.9,0.278,83,68,88,78,134,14,39,3,9,13,31,36,105,66,72.7
305,Julius Randle,50,1412,21.9,17,1.2,20.2,6.8,24.8,0.368,172,136,190,147,231,59,173,21,40,19,49,6,24,203,58.1
306,Zach Randolph,50,1215,28.8,8.3,1.1,13.7,11.3,27.8,0.189,103,94,124,119,183,82,189,31,78,50,140,16,64,154,66.2
307,J.J. Redick,53,1498,22.4,9.2,1.2,7.4,0.8,7.6,0.204,86,113,128,29,56,14,31,11,35,82,175,139,330,91,76.9
308,Willie Reed,48,702,15.1,8.4,0.7,3.7,13.5,22.3,0.313,82,34,60,78,110,19,51,7,18,3,10,1,3,141,54.6
309,Josh Richardson,28,875,18.7,11.4,1.5,13.3,1.7,10,0.11,74,25,34,20,39,11,24,18,32,28,71,45,144,63,55.6
310,Malachi Richardson,22,198,19.2,9.5,1.3,8.8,1.8,11.8,0.279,23,15,19,6,8,2,7,2,5,10,20,8,28,14,78.6
311,Austin Rivers,54,1528,20,12.2,1.3,16.1,1.2,6.9,0.251,133,94,136,95,164,35,99,15,30,9,36,85,213,109,59.6
312,Andre Roberson,57,1745,10.3,9,1.9,4.4,4.2,14.3,0.247,138,37,86,109,169,2,20,0,1,2,6,35,145,231,57.1
313,Brian Roberts,20,146,17.3,17.6,0.7,23.9,2.2,9.5,0.595,5,19,22,0,5,0,4,2,7,5,7,6,13,7,71.4
314,Glenn Robinson,55,1204,12.6,9.4,1.2,4.7,4.6,13.9,0.217,52,44,61,37,63,10,26,10,21,30,67,38,99,95,65.3
315,Thomas Robinson,34,374,17.3,16.5,2.1,9.5,16.6,27.3,0.315,54,15,35,45,74,10,24,2,7,1,6,0,0,62,62.9
316,Sergio Rodriguez,51,1158,19.8,20.5,1.7,35.9,1.4,10.5,0.051,70,15,21,28,48,17,44,18,44,27,74,73,197,52,82.7
317,Rajon Rondo,48,1260,17,23.8,2.5,36.2,3.6,18,0.092,94,18,33,51,111,24,54,3,20,31,92,25,79,90,76.7
318,Derrick Rose,48,1544,26.2,12.7,1.1,23.1,3.8,9.3,0.228,69,147,170,,,,,,,,,13,54,102,66.7
319,Terrence Ross,54,1207,19.7,6.2,2.2,5.8,1.3,11.8,0.104,82,41,50,37,55,21,39,22,51,35,76,96,256,88,70.5
320,Terry Rozier,52,941,16.2,8.8,1.7,13.8,3.3,15.6,0.176,52,39,51,37,81,7,25,11,29,11,29,39,118,68,64.7
321,Ricky Rubio,51,1637,14.9,22.4,2.8,36.2,3.3,10.6,0.462,130,143,164,38,76,4,15,18,38,41,98,36,128,122,71.3
322,Damjan Rudez,35,267,13,10.3,2.1,8.7,2,7.6,0,28,0,0,2,3,0,1,1,2,4,10,19,54,23,73.9
323,Brandon Rush,23,414,10.5,12.2,1.5,5.3,2.2,9.1,0.122,14,7,10,5,11,1,4,1,4,3,13,20,50,33,60.6
324,D'Angelo Russell,42,1112,26.8,15.9,2.2,28.9,2.2,13.6,0.231,81,95,123,35,65,38,81,26,79,28,73,82,235,92,76.1
325,Domantas Sabonis,57,1235,14.9,15.3,1.2,7,3.1,15.9,0.094,144,23,33,54,97,28,74,5,17,12,32,39,124,192,54.2
326,Dario Saric,56,1368,22.9,15,1.3,11.8,6,20.7,0.208,97,91,116,83,150,27,64,10,28,25,88,72,220,191,62.8
327,Tomas Satoransky,39,553,12.1,20.5,1.8,16.9,4.4,9.2,0.239,46,20,26,17,35,13,24,5,13,5,10,6,27,54,57.4
328,Dennis Schroder,56,1728,27.3,15.9,1.3,35.3,1.8,8.4,0.231,96,158,190,170,306,42,110,35,76,60,130,69,200,105,64.8
329,Luis Scola,36,461,18.7,16.9,1.4,12.7,11.8,19.9,0.245,63,25,37,39,58,12,30,3,8,0,6,17,50,67,65.7
330,Mike Scott,18,195,15.6,11.5,1,12.3,5.7,15.1,0.138,12,7,8,4,7,4,10,3,10,2,4,4,27,17,52.9
331,Thabo Sefolosha,44,1137,13.7,11.5,3.2,8.9,3.4,14.7,0.197,67,44,57,68,107,11,26,7,26,20,51,26,79,83,68.7
332,Kevin Seraphin,34,416,17.1,11.9,0.5,7.2,8.5,20.4,0.074,46,5,10,23,34,24,39,11,27,13,27,0,1,59,50.8
333,Ramon Sessions,50,811,19.8,12.7,1.5,24.3,1.6,8.2,0.449,43,91,118,43,83,21,63,9,32,7,24,21,62,44,56.8
334,Iman Shumpert,51,1297,13.5,12.5,1.9,8.5,2.5,10,0.206,101,51,66,34,52,1,16,6,20,20,45,75,186,103,65
335,Pascal Siakam,48,806,12.8,13.4,1.4,2.7,8.2,15.1,0.171,103,22,32,54,88,21,46,7,22,12,27,0,4,135,57.8
336,Jonathon Simmons,52,942,17.8,14.3,1.9,12.9,1.7,12.5,0.348,100,72,96,60,100,13,43,8,17,20,53,19,63,82,63.4
337,Kyle Singler,27,282,10.5,14.3,0.5,2.4,1.6,10.9,0.2,20,9,11,14,19,1,6,0,1,1,3,6,26,35,62.9
338,Marcus Smart,54,1678,18.2,16.4,2.8,21.2,3.4,10.7,0.298,124,116,150,52,104,36,86,15,41,9,39,68,219,101,59.4
339,Ish Smith,56,1317,19.2,14.1,1.5,30.8,1.2,11.7,0.146,86,46,67,84,142,34,91,27,58,42,100,17,67,123,60.2
340,J.R. Smith,21,607,14.7,7.4,2.1,5.9,1.5,6.5,0.049,47,7,9,7,14,0,7,2,7,3,18,50,138,42,64.3
341,Jason Smith,53,710,16.9,15.5,1,3.7,8.4,18.8,0.168,122,24,36,29,44,10,21,14,23,52,103,10,21,143,55.9
342,Tony Snell,54,1541,11.7,8.5,0.9,6,1.2,11.9,0.106,86,28,37,39,55,6,13,8,19,12,25,95,237,104,69.2
343,Marreese Speights,56,924,24.4,8.5,1,8.6,7.9,23,0.304,163,109,124,59,96,23,56,8,24,14,31,79,201,177,61
344,Nik Stauskas,54,1459,15.6,15.5,1,12.6,1.1,10.1,0.238,101,77,95,57,102,5,25,7,18,6,24,85,226,115,73
345,Lance Stephenson,10,211,18.8,14.5,0.5,23.8,1.5,11.5,0.139,20,6,10,15,21,4,8,2,11,12,21,1,11,13,46.2
346,Rodney Stuckey,25,465,22.5,14.5,1.1,16,1,12.1,0.485,35,61,80,18,36,8,18,16,28,16,43,12,37,25,64
347,Jared Sullinger,11,118,20.9,7.2,1.7,3.7,9.5,16.4,0.167,17,4,8,7,12,1,7,2,4,2,7,3,18,12,41.7
348,Jeff Teague,57,1856,22.2,17.3,2.1,37.8,1.5,12.6,0.471,121,253,297,86,156,78,195,34,65,27,52,56,159,121,71.1
349,Mirza Teletovic,46,751,19.9,9.9,0.5,6.7,1.6,15.1,0.127,73,28,36,17,30,5,15,4,11,9,17,73,210,100,63
350,Garrett Temple,49,1301,13.3,13,2.3,12.8,2.4,9.3,0.202,108,49,62,44,65,7,13,10,20,15,51,58,158,104,66.3
351,Jason Terry,47,804,9.4,12.5,1.6,10.8,1.5,6.3,0.114,60,13,16,8,16,1,6,3,7,3,9,42,102,40,77.5
352,Isaiah Thomas,53,1830,34.2,10,1.1,33.8,1.8,6.9,0.444,115,427,468,,,,,,,,,172,445,94,74.5
353,Lance Thomas,32,558,13,9.5,1.2,4.2,3.1,9,0.146,57,18,21,11,27,8,24,3,8,12,36,21,49,33,60.6
354,Hollis Thompson,31,561,13.7,5.1,1.2,7.1,2.9,13.4,0.126,55,13,20,24,39,6,18,6,14,4,17,26,71,45,62.2
355,Klay Thompson,54,1844,25.6,8.8,1.1,9,2.4,9.4,0.162,102,127,151,,,,,,,,,182,431,161,62.1
356,Tristan Thompson,55,1651,11.3,10.1,0.9,3.9,14.1,21.3,0.524,131,84,163,139,213,34,73,6,13,1,2,0,3,326,51.2
357,Marcus Thornton,33,575,18.9,10.1,1.6,9.9,4.4,10.4,0.129,48,23,27,27,45,12,36,7,15,10,34,28,80,23,69.6
358,Anthony Tolliver,45,1042,13.2,12.5,1.4,6.2,5,14,0.218,75,42,53,23,35,13,21,2,10,8,16,63,162,125,69.6
359,Karl-Anthony Towns,57,2079,27.4,11.6,0.9,14.3,10.8,27.2,0.301,174,250,302,261,380,120,255,31,72,41,104,65,192,338,56.2
360,P.J. Tucker,57,1627,11.4,11.8,2.6,6.2,6.1,17.4,0.218,143,61,77,59,113,20,55,13,28,9,21,46,136,138,63
361,Evan Turner,50,1311,18.8,14.2,1.6,19.5,2.2,14,0.184,91,70,82,46,78,42,81,53,119,25,68,28,99,100,62
362,Myles Turner,56,1732,21,9.9,1.3,5.9,5.9,20,0.385,183,192,241,126,174,42,93,34,73,82,180,34,94,402,52.2
363,Beno Udrih,30,420,19.7,12.9,0.8,32.7,1.3,8.9,0.173,20,24,26,18,31,9,15,20,42,11,34,10,28,22,77.3
364,Tyler Ulis,36,324,19.9,17,3,21.4,3,5.6,0.133,29,13,16,4,14,10,24,17,34,10,31,6,18,23,69.6
365,Jonas Valanciunas,55,1481,19.7,11.9,0.9,4.4,12.1,29.4,0.305,153,132,155,142,235,82,151,31,73,19,51,0,0,289,56.7
366,Denzel Valentine,32,401,15.7,14.5,2.1,7.9,0.8,13.7,0.084,31,7,10,4,8,3,11,3,6,3,11,25,83,27,74.1
367,Fred VanVleet,21,145,21.4,5.7,3.5,18.6,2.3,12.6,0.18,18,9,11,8,20,1,9,2,4,4,9,7,18,8,75
368,Rashad Vaughn,24,277,16.7,6.8,2.2,5.2,0.4,11.3,0.021,13,1,2,9,14,1,10,0,5,5,10,19,56,35,60
369,Noah Vonleh,48,634,14.2,18,1.2,2.4,11.1,23.9,0.287,83,24,43,28,61,12,35,1,7,12,24,7,20,91,53.8
