P1 Sorted,P2 Sorted,P3 Sorted,P4 Sorted,P5 Sorted,Sum of POSS,Sum of DPOSS,Sum of PTS,Sum of DPTS,Sum of ORTG,Sum of DRTG,Sum of Net RTG
0,5,5,7,8,170,170,177,203,104.12,119.41,-15.29
0,1,2,3,4,361,358,359,411,99.45,114.8,-15.35
0,0,0,4,7,51,51,49,57,96.08,111.76,-15.68
6,6,6,6,8,140,139,117,138,83.57,99.28,-15.71
0,1,6,7,7,41,43,44,53,107.32,123.26,-15.94
0,0,6,6,8,442,457,416,504,94.12,110.28,-16.16
0,1,2,6,6,578,591,605,715,104.67,120.98,-16.31
0,0,2,7,7,191,194,211,246,110.47,126.8,-16.33
0,2,3,3,6,110,109,119,136,108.18,124.77,-16.59
1,1,3,6,6,232,234,237,278,102.16,118.8,-16.64
0,0,0,2,3,282,273,278,315,98.58,115.38,-16.8
0,1,2,3,8,19,20,11,15,57.89,75,-17.11
0,2,6,7,7,139,143,149,178,107.19,124.48,-17.29
0,1,6,6,7,199,203,189,228,94.97,112.32,-17.35
3,3,5,6,7,64,69,63,80,98.44,115.94,-17.5
0,2,3,3,3,27,28,29,35,107.41,125,-17.59
1,2,4,6,8,28,30,24,31,85.71,103.33,-17.62
1,3,5,5,6,90,98,105,132,116.67,134.69,-18.02
2,2,3,3,5,89,84,92,102,103.37,121.43,-18.06
6,6,7,8,8,39,37,33,38,84.62,102.7,-18.08
1,1,3,5,6,36,38,38,47,105.56,123.68,-18.12
0,4,6,7,8,22,22,22,26,100,118.18,-18.18
2,5,6,6,7,287,282,309,355,107.67,125.89,-18.22
0,5,6,6,6,223,220,238,275,106.73,125,-18.27
0,0,2,6,6,664,665,666,790,100.3,118.8,-18.5
0,0,0,7,7,74,75,82,97,110.81,129.33,-18.52
2,4,5,8,8,63,65,61,75,96.83,115.38,-18.55
0,0,0,1,6,182,190,185,229,101.65,120.53,-18.88
0,1,3,4,6,416,407,411,479,98.8,117.69,-18.89
1,6,6,6,6,110,106,114,130,103.64,122.64,-19
1,2,3,4,6,100,100,98,117,98,117,-19
0,0,0,1,5,273,276,269,326,98.53,118.12,-19.59
1,1,6,7,8,109,117,96,126,88.07,107.69,-19.62
0,2,2,3,7,42,44,49,60,116.67,136.36,-19.69
5,6,6,6,6,76,80,80,100,105.26,125,-19.74
3,6,6,7,8,406,407,369,451,90.89,110.81,-19.92
3,5,5,6,6,46,37,48,46,104.35,124.32,-19.97
1,6,7,7,8,10,10,10,12,100,120,-20
0,0,2,3,4,213,206,207,242,97.18,117.48,-20.3
0,0,0,6,7,37,43,26,39,70.27,90.7,-20.43
5,6,7,8,8,169,166,170,201,100.59,121.08,-20.49
5,5,7,7,8,14,14,10,13,71.43,92.86,-21.43
0,2,5,5,8,209,208,196,240,93.78,115.38,-21.6
1,1,6,6,7,10,9,10,11,100,122.22,-22.22
0,0,5,6,6,592,592,600,732,101.35,123.65,-22.3
1,4,5,6,6,83,77,86,97,103.61,125.97,-22.36
